GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048732	gland development	1.4497693140080114e-14	1.4497693140080114e-14	+1	NF1,GATA3,FBXW7,ARHGAP35,TBX3,CEBPA,AKT1,SOX9,WT1,HGF,ERBB4,ARID5B,ELF3,FGFR2,BRCA2
GO:0046777	protein autophosphorylation	6.35029553706197e-13	6.35029553706197e-13	+1	EGFR,FLT3,STK11,AKT1,ATM,ERBB4,MTOR,LRRK2,CHEK2,KIT,PDGFRA,FGFR2,FGFR3,TAF1,ATR,CDK12,ACVR1B
GO:0014065	phosphatidylinositol 3-kinase signaling	1.015609828813787e-12	1.015609828813787e-12	+1	PIK3CA,PTEN,EGFR,NF1,PIK3R1,GATA3,FLT3,AKT1,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0048762	mesenchymal cell differentiation	1.7438393264979651e-12	1.7438393264979651e-12	+1	PTEN,GATA3,NOTCH1,CTNNB1,EPHA3,SOX9,HGF,ERBB4,MTOR,FOXA1,FGFR2,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0060485	mesenchyme development	2.0162798644020755e-12	2.0162798644020755e-12	+1	PTEN,GATA3,NOTCH1,CTNNB1,EPHA3,SOX9,WT1,HGF,ERBB4,MTOR,FOXA1,FGFR2,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0001837	epithelial to mesenchymal transition	2.2999217492155322e-12	2.2999217492155322e-12	+1	PTEN,GATA3,NOTCH1,CTNNB1,EPHA3,SOX9,HGF,MTOR,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0016049	cell growth	2.399468656538339e-12	2.399468656538339e-12	+1	TP53,EGFR,CDKN2A,RB1,CTNNB1,BAP1,STK11,AKT1,SOX9,CDKN1B,WT1,MTOR,SMAD4,USP9X,SOX17,CDKN1A,PPP2R1A,SIN3A,ACVR1B,H3F3C
GO:0010717	regulation of epithelial to mesenchymal transition	5.519098801241719e-12	5.519098801241719e-12	+1	PTEN,GATA3,NOTCH1,CTNNB1,EPHA3,MTOR,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0007507	heart development	8.865443287172276e-12	8.865443287172276e-12	+1	PTEN,EGFR,NF1,GATA3,RB1,NOTCH1,CTNNB1,TBX3,SOX9,CDKN1B,WT1,ERBB4,PDGFRA,FGFR2,SMAD4,TGFBR2,SOX17,CDKN1A
GO:1902806	regulation of cell cycle G1/S phase transition	1.1297833020442811e-11	1.1297833020442811e-11	+1	TP53,PTEN,EGFR,CDKN2A,RB1,FBXW7,AKT1,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,TAF1,CDKN2C,EZH2
