NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.055175014	Yes	
row_1	COL1A2	11	29.397796630859375	0.10743722	Yes	
row_2	LOXL2	15	28.417787551879883	0.15795061	Yes	
row_3	COL1A1	20	27.48004722595215	0.20672457	Yes	
row_4	COL6A3	22	27.351099014282227	0.25546652	Yes	
row_5	COL6A2	25	26.964008331298828	0.3034517	Yes	
row_6	COL3A1	27	26.716320037841797	0.35106087	Yes	
row_7	LOXL1	31	26.20947265625	0.39763352	Yes	
row_8	COL8A1	42	24.576276779174805	0.4408295	Yes	
row_9	COL6A1	55	23.202693939208984	0.4814422	Yes	
row_10	COL5A2	59	22.85744857788086	0.5220332	Yes	
row_11	LOX	115	19.259807586669922	0.55277026	Yes	
row_12	PCOLCE	163	17.18509864807129	0.5803333	Yes	
row_13	COL4A2	212	15.11036205291748	0.60412794	Yes	
row_14	BMP1	213	15.095419883728027	0.63106567	Yes	
row_15	COL4A1	228	14.725882530212402	0.65641946	Yes	
row_16	COL5A3	283	13.445183753967285	0.6768464	Yes	
row_17	COL11A1	308	12.975887298583984	0.69841695	Yes	
row_18	COL4A5	316	12.779044151306152	0.72075886	Yes	
row_19	COL10A1	334	12.442176818847656	0.7418393	Yes	
row_20	PXDN	386	11.32361125946045	0.7586784	Yes	
row_21	COL9A3	431	10.494370460510254	0.7744999	Yes	
row_22	COL4A6	454	10.195211410522461	0.79124045	Yes	
row_23	COL15A1	481	9.83417797088623	0.8070725	Yes	
row_24	COL8A2	500	9.574555397033691	0.8229697	Yes	
row_25	COL2A1	519	9.34322452545166	0.83845395	Yes	
row_26	COL18A1	585	8.63586139678955	0.84957224	Yes	
row_27	PLEC	639	8.197492599487305	0.86070067	Yes	
row_28	COL7A1	692	7.690342903137207	0.87099016	Yes	
row_29	COL27A1	808	6.71028995513916	0.8753704	Yes	
row_30	COL6A6	816	6.652199745178223	0.88677895	Yes	
row_31	TLL1	1182	4.63731050491333	0.8709507	No	
row_32	MMP13	1366	3.9855713844299316	0.8659781	No	
row_33	ITGB4	1920	2.585984945297241	0.8340743	No	
row_34	LOXL3	2166	2.1927292346954346	0.82180816	No	
row_35	LAMC2	2183	2.168673515319824	0.82462156	No	
row_36	COL24A1	2691	1.5190420150756836	0.79385144	No	
row_37	MMP7	3338	1.0014234781265259	0.7529785	No	
row_38	COL9A2	4073	0.6239818930625916	0.70562077	No	
row_39	LOXL4	4164	0.5839745998382568	0.70071954	No	
row_40	LAMB3	4746	0.3721083700656891	0.66301596	No	
row_41	CD151	6661	-0.031350813806056976	0.5366769	No	
row_42	MMP9	7962	-0.27696850895881653	0.45132288	No	
row_43	CTSB	9055	-0.5549080967903137	0.3802006	No	
row_44	LAMA3	9270	-0.6199235916137695	0.3671749	No	
row_45	COL4A4	10239	-0.9606071710586548	0.30496517	No	
row_46	COL9A1	10460	-1.0470776557922363	0.29230553	No	
row_47	COL4A3	10884	-1.2394574880599976	0.26658362	No	
row_48	ITGA6	10913	-1.2524088621139526	0.2669695	No	
row_49	COL11A2	11521	-1.5303364992141724	0.22961587	No	
row_50	CTSS	14991	-7.176479339599609	0.013339531	No	
