NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1251	4.394615173339844	-0.06759297	No	
row_1	RNASEL	2120	2.2573845386505127	-0.11719714	No	
row_2	IFITM2	3616	0.8438947796821594	-0.21303298	No	
row_3	IFNAR1	5883	0.0994468405842781	-0.36232343	No	
row_4	IP6K2	6910	-0.07324445247650146	-0.4298228	No	
row_5	JAK1	7287	-0.14059318602085114	-0.4541708	No	
row_6	TYK2	7772	-0.23649437725543976	-0.48532265	No	
row_7	STAT2	8966	-0.528697669506073	-0.56229347	No	
row_8	IRF3	10453	-1.0421053171157837	-0.65685785	No	
row_9	IRF8	11170	-1.372139573097229	-0.6994494	No	
row_10	MYD88	11919	-1.753706693649292	-0.7428505	No	
row_11	IFNAR2	12472	-2.1353583335876465	-0.7720052	No	
row_12	IFITM3	12696	-2.318485736846924	-0.7788095	No	
row_13	IRF5	12995	-2.6035335063934326	-0.7895924	No	
row_14	IRAK1	13119	-2.7175843715667725	-0.7884299	No	
row_15	IRF6	13385	-2.9780666828155518	-0.7957542	No	
row_16	BST2	13655	-3.285536289215088	-0.8022921	No	
row_17	MX2	13862	-3.5691821575164795	-0.80370086	No	
row_18	IRF4	14084	-3.9595301151275635	-0.8047666	Yes	
row_19	RSAD2	14195	-4.168782711029053	-0.7977877	Yes	
row_20	IFITM1	14208	-4.195068836212158	-0.7842479	Yes	
row_21	SAMHD1	14283	-4.33425235748291	-0.7743265	Yes	
row_22	ADAR	14288	-4.344361782073975	-0.75974834	Yes	
row_23	HLA-G	14427	-4.646975994110107	-0.75298464	Yes	
row_24	GBP2	14476	-4.7694292068481445	-0.7398597	Yes	
row_25	SP100	14583	-5.0508809089660645	-0.72960305	Yes	
row_26	OAS3	14664	-5.260453224182129	-0.7169136	Yes	
row_27	MX1	14717	-5.455954551696777	-0.7017073	Yes	
row_28	OAS2	14745	-5.5416669845581055	-0.6845573	Yes	
row_29	XAF1	14811	-5.8260178565979	-0.66894513	Yes	
row_30	IFI6	14900	-6.37869930267334	-0.65296346	Yes	
row_31	IRF2	14903	-6.388325214385986	-0.6312701	Yes	
row_32	ISG20	15014	-7.5381903648376465	-0.61277986	Yes	
row_33	IRF7	15027	-7.740503311157227	-0.58712715	Yes	
row_34	OAS1	15036	-7.834973335266113	-0.5608876	Yes	
row_35	OASL	15044	-7.94619607925415	-0.534202	Yes	
row_36	IFIT2	15075	-8.426925659179688	-0.50739276	Yes	
row_37	IFIT3	15078	-8.512880325317383	-0.47844097	Yes	
row_38	IFIT1	15093	-8.74571418762207	-0.4494861	Yes	
row_39	ISG15	15115	-9.207924842834473	-0.41941434	Yes	
row_40	STAT1	15122	-9.32321548461914	-0.3879582	Yes	
row_41	HLA-C	15149	-11.099032402038574	-0.3517557	Yes	
row_42	HLA-E	15150	-11.117681503295898	-0.31377268	Yes	
row_43	HLA-B	15151	-11.138444900512695	-0.2757187	Yes	
row_44	IRF9	15157	-11.687451362609863	-0.23611921	Yes	
row_45	HLA-A	15166	-12.697202682495117	-0.19326806	Yes	
row_46	IFI35	15168	-12.717256546020508	-0.14988618	Yes	
row_47	HLA-F	15179	-14.076173782348633	-0.1024559	Yes	
row_48	IRF1	15181	-14.451542854309082	-0.0531489	Yes	
row_49	PSMB8	15186	-15.76928997039795	4.6202392E-4	Yes	
