NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.04377247	Yes	
row_1	COL5A1	7	31.1781005859375	0.08667609	Yes	
row_2	COL1A2	11	29.397796630859375	0.12699382	Yes	
row_3	LOXL2	15	28.417787551879883	0.16596091	Yes	
row_4	COL1A1	20	27.48004722595215	0.20356946	Yes	
row_5	COL6A3	22	27.351099014282227	0.2411987	Yes	
row_6	COL6A2	25	26.964008331298828	0.2782283	Yes	
row_7	COL3A1	27	26.716320037841797	0.31498268	Yes	
row_8	LOXL1	31	26.20947265625	0.35090628	Yes	
row_9	COL8A1	42	24.576276779174805	0.38411602	Yes	
row_10	COL6A1	55	23.202693939208984	0.41530046	Yes	
row_11	COL5A2	59	22.85744857788086	0.44660428	Yes	
row_12	ADAMTS2	114	19.320634841918945	0.46966085	Yes	
row_13	LOX	115	19.259807586669922	0.49620476	Yes	
row_14	P4HA3	129	18.85076904296875	0.52132523	Yes	
row_15	PCOLCE	163	17.18509864807129	0.54282737	Yes	
row_16	ADAMTS14	211	15.163331985473633	0.56061727	Yes	
row_17	COL4A2	212	15.11036205291748	0.5814424	Yes	
row_18	BMP1	213	15.095419883728027	0.602247	Yes	
row_19	COL14A1	218	15.053777694702148	0.6227296	Yes	
row_20	COL4A1	228	14.725882530212402	0.64242965	Yes	
row_21	COL5A3	283	13.445183753967285	0.6573887	Yes	
row_22	COL11A1	308	12.975887298583984	0.6736849	Yes	
row_23	COL4A5	316	12.779044151306152	0.69083405	Yes	
row_24	SERPINH1	321	12.643220901489258	0.70799446	Yes	
row_25	COL10A1	334	12.442176818847656	0.7243487	Yes	
row_26	PXDN	386	11.32361125946045	0.73658216	Yes	
row_27	COL9A3	431	10.494370460510254	0.7481357	Yes	
row_28	COL12A1	451	10.256308555603027	0.7610144	Yes	
row_29	COL4A6	454	10.195211410522461	0.7749332	Yes	
row_30	COL15A1	481	9.83417797088623	0.78676724	Yes	
row_31	COL8A2	500	9.574555397033691	0.7987725	Yes	
row_32	PLOD1	502	9.55329704284668	0.8118728	Yes	
row_33	COL2A1	519	9.34322452545166	0.8236915	Yes	
row_34	COL18A1	585	8.63586139678955	0.83129483	Yes	
row_35	PLEC	639	8.197492599487305	0.83908755	Yes	
row_36	COL7A1	692	7.690342903137207	0.8462475	Yes	
row_37	COL25A1	710	7.5265212059021	0.8554963	Yes	
row_38	PCOLCE2	802	6.738885879516602	0.8587657	Yes	
row_39	COL27A1	808	6.71028995513916	0.86768323	Yes	
row_40	COL6A6	816	6.652199745178223	0.8763884	Yes	
row_41	P4HA2	900	6.090365886688232	0.8792931	Yes	
row_42	P4HA1	1040	5.295558929443359	0.8773989	No	
row_43	TLL1	1182	4.63731050491333	0.8744653	No	
row_44	MMP13	1366	3.9855713844299316	0.86785585	No	
row_45	ITGB4	1920	2.585984945297241	0.8348482	No	
row_46	LOXL3	2166	2.1927292346954346	0.8216676	No	
row_47	LAMC2	2183	2.168673515319824	0.8235983	No	
row_48	CRTAP	2469	1.7651033401489258	0.807183	No	
row_49	COL13A1	2552	1.6832282543182373	0.80407995	No	
row_50	COL24A1	2691	1.5190420150756836	0.79704714	No	
row_51	MMP7	3338	1.0014234781265259	0.75570524	No	
row_52	PLOD3	3795	0.7429008483886719	0.7265724	No	
row_53	COL9A2	4073	0.6239818930625916	0.7091135	No	
row_54	LOXL4	4164	0.5839745998382568	0.7039663	No	
row_55	PLOD2	4444	0.4690726697444916	0.68616164	No	
row_56	LAMB3	4746	0.3721083700656891	0.6667684	No	
row_57	COL22A1	4852	0.34072402119636536	0.660294	No	
row_58	P4HB	5386	0.20896504819393158	0.62533295	No	
row_59	COL28A1	6193	0.04425230622291565	0.5720906	No	
row_60	COL23A1	6262	0.029813334345817566	0.56763464	No	
row_61	ADAMTS3	6429	0.004718590062111616	0.55666304	No	
row_62	CD151	6661	-0.031350813806056976	0.54142946	No	
row_63	MMP9	7962	-0.27696850895881653	0.45583802	No	
row_64	CTSB	9055	-0.5549080967903137	0.38438538	No	
row_65	LAMA3	9270	-0.6199235916137695	0.37108725	No	
row_66	COL4A4	10239	-0.9606071710586548	0.30839422	No	
row_67	COL9A1	10460	-1.0470776557922363	0.295288	No	
row_68	COL4A3	10884	-1.2394574880599976	0.2690219	No	
row_69	ITGA6	10913	-1.2524088621139526	0.26889622	No	
row_70	PPIB	11272	-1.4190367460250854	0.24717627	No	
row_71	COL11A2	11521	-1.5303364992141724	0.23288435	No	
row_72	CTSS	14991	-7.176479339599609	0.013358949	No	
