NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.059375975	Yes	
row_1	THBS1	36	25.442819595336914	0.10508306	Yes	
row_2	VCAN	43	24.292301177978516	0.15015696	Yes	
row_3	GPC6	45	24.216798782348633	0.19542004	Yes	
row_4	ADAMTS7	56	23.09910011291504	0.23799607	Yes	
row_5	THBS2	77	21.315616607666016	0.27657276	Yes	
row_6	ADAMTS12	91	20.48077392578125	0.31404948	Yes	
row_7	ADAMTS2	114	19.320634841918945	0.34875974	Yes	
row_8	OGN	119	19.09394073486328	0.3842355	Yes	
row_9	ADAMTS10	139	18.42127227783203	0.41746062	Yes	
row_10	SPON2	146	17.9222412109375	0.450611	Yes	
row_11	ADAMTS9	149	17.65764808654785	0.48353052	Yes	
row_12	DCN	165	17.14639663696289	0.5146337	Yes	
row_13	ADAMTS16	181	16.18119239807129	0.5439303	Yes	
row_14	SDC2	203	15.382715225219727	0.5713356	Yes	
row_15	ADAMTS14	211	15.163331985473633	0.59925574	Yes	
row_16	HSPG2	226	14.778420448303223	0.62599266	Yes	
row_17	GPC1	233	14.619424819946289	0.6529608	Yes	
row_18	OMD	239	14.511360168457031	0.6797927	Yes	
row_19	ADAMTS5	276	13.484540939331055	0.7026535	Yes	
row_20	CSPG4	293	13.33823013305664	0.72656244	Yes	
row_21	LUM	313	12.807376861572266	0.74927944	Yes	
row_22	SDC1	356	11.86196517944336	0.76870644	Yes	
row_23	ADAMTS4	467	9.942222595214844	0.7800451	Yes	
row_24	ADAMTSL1	479	9.84017562866211	0.7977369	Yes	
row_25	ADAMTSL2	534	9.149365425109863	0.8112932	Yes	
row_26	ADAMTSL3	665	7.9084978103637695	0.81750304	Yes	
row_27	SEMA5A	718	7.478938102722168	0.82806486	Yes	
row_28	FMOD	897	6.104105472564697	0.8277243	Yes	
row_29	MUC5B	991	5.605262756347656	0.83206874	Yes	
row_30	NOTCH4	1200	4.584200859069824	0.8269001	Yes	
row_31	ADAMTS18	1239	4.444174289703369	0.83270687	Yes	
row_32	ADAMTSL4	1276	4.28934907913208	0.838356	Yes	
row_33	THSD1	1400	3.883864641189575	0.8374952	No	
row_34	PRELP	1759	2.9452505111694336	0.81934345	No	
row_35	NOTCH1	1832	2.7993288040161133	0.81982386	No	
row_36	NOTCH3	1887	2.661668539047241	0.82123643	No	
row_37	ADAMTS1	2083	2.310167074203491	0.81267065	No	
row_38	ADAMTS8	2233	2.10224986076355	0.8067564	No	
row_39	GPC2	2296	1.9879202842712402	0.806379	No	
row_40	ADAMTS17	2391	1.8722094297409058	0.80366975	No	
row_41	MUC6	2412	1.8383982181549072	0.8057889	No	
row_42	GPC3	2485	1.7506052255630493	0.80430627	No	
row_43	ADAMTS13	2867	1.370169758796692	0.7816859	No	
row_44	AGRN	3293	1.0376192331314087	0.75553447	No	
row_45	ADAMTS15	3507	0.8951416015625	0.74313015	No	
row_46	CFP	3590	0.856916606426239	0.7393137	No	
row_47	SEMA5B	4197	0.570877730846405	0.7003241	No	
row_48	MUC4	4320	0.5164488554000854	0.69322634	No	
row_49	ADAMTS6	4392	0.49120017886161804	0.68945247	No	
row_50	DAG1	4733	0.37638986110687256	0.6676821	No	
row_51	THSD4	5521	0.17978435754776	0.6159959	No	
row_52	THSD7B	5525	0.17822358012199402	0.6161312	No	
row_53	THSD7A	5627	0.15446661412715912	0.60974395	No	
row_54	NOTCH2	5766	0.12299886345863342	0.600852	No	
row_55	GPC4	5899	0.09680550545454025	0.5923077	No	
row_56	SPON1	6284	0.02687455713748932	0.5669746	No	
row_57	BCAN	6384	0.011544773355126381	0.56045204	No	
row_58	ADAMTS3	6429	0.004718590062111616	0.5575524	No	
row_59	GPC5	8806	-0.48591744899749756	0.40140215	No	
row_60	SDC3	9723	-0.7722700834274292	0.34229773	No	
row_61	CSPG5	9776	-0.7920889854431152	0.34034303	No	
row_62	MUC20	10692	-1.1465160846710205	0.28200522	No	
row_63	SDC4	11667	-1.607848882675171	0.22063087	No	
row_64	MUC1	13202	-2.788816213607788	0.124449626	No	
row_65	MUC15	13985	-3.790182113647461	0.07985189	No	
