NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.35077342	No	
row_1	PSME3	7201	-0.12382311373949051	-0.47512564	No	
row_2	E2F3	7587	-0.19706083834171295	-0.4999558	No	
row_3	PSME4	7688	-0.21744674444198608	-0.5058685	No	
row_4	PSMC4	7911	-0.26553699374198914	-0.51969576	No	
row_5	RPS27A	8450	-0.3954343795776367	-0.5540059	No	
row_6	RPA1	9088	-0.5625913143157959	-0.59432495	No	
row_7	PSMD5	9468	-0.6802237033843994	-0.6171985	No	
row_8	PSMD3	9736	-0.7770227789878845	-0.63235116	No	
row_9	PSMD8	9916	-0.840112566947937	-0.6414793	No	
row_10	POLE	10182	-0.9394860863685608	-0.6559752	No	
row_11	MCM8	10570	-1.0927809476852417	-0.6780461	No	
row_12	UBB	10689	-1.14455246925354	-0.68215656	No	
row_13	UBC	10939	-1.2639217376708984	-0.69454676	No	
row_14	PSMD12	11082	-1.3253339529037476	-0.6996611	No	
row_15	PSMD2	11084	-1.3259129524230957	-0.6954469	No	
row_16	PSMC5	11112	-1.3426692485809326	-0.69289845	No	
row_17	POLA1	11717	-1.6311213970184326	-0.72758526	No	
row_18	MCM10	11789	-1.6711336374282837	-0.72688687	No	
row_19	CDC6	11816	-1.6895831823349	-0.72315234	No	
row_20	PSMF1	11875	-1.725949764251709	-0.72141707	No	
row_21	PSMB7	12026	-1.8138827085494995	-0.7254835	No	
row_22	PSMC1	12253	-1.983543872833252	-0.73402923	No	
row_23	PSMD10	12407	-2.0914218425750732	-0.7373981	No	
row_24	PSMB5	12517	-2.166536569595337	-0.737614	No	
row_25	PSMA1	12543	-2.193392038345337	-0.7321869	No	
row_26	PSMD6	12747	-2.3660945892333984	-0.7379764	Yes	
row_27	CDC7	12821	-2.428292989730835	-0.73496604	Yes	
row_28	RPA3	12933	-2.5309202671051025	-0.73413795	Yes	
row_29	PSMD13	13082	-2.6853890419006348	-0.7352586	Yes	
row_30	UBA52	13090	-2.697148323059082	-0.72701466	Yes	
row_31	POLE2	13147	-2.74045467376709	-0.7218721	Yes	
row_32	PSMA7	13200	-2.785933256149292	-0.71631813	Yes	
row_33	MCM7	13219	-2.8050425052642822	-0.7084535	Yes	
row_34	POLE3	13280	-2.856867551803589	-0.70319974	Yes	
row_35	MCM5	13318	-2.9045684337615967	-0.6962706	Yes	
row_36	CDK2	13406	-2.992527484893799	-0.6923648	Yes	
row_37	PRIM2	13411	-2.996981382369995	-0.6829545	Yes	
row_38	PSMB2	13467	-3.0542337894439697	-0.67673284	Yes	
row_39	PSMC3	13560	-3.16575288772583	-0.6725986	Yes	
row_40	MCM4	13596	-3.2002570629119873	-0.66458267	Yes	
row_41	E2F1	13637	-3.2661292552948	-0.65668476	Yes	
row_42	MCM2	13714	-3.367718458175659	-0.65084016	Yes	
row_43	MCM6	13727	-3.384777307510376	-0.6407072	Yes	
row_44	SHFM1	13741	-3.4100396633148193	-0.6305587	Yes	
row_45	CDC45	13752	-3.4191815853118896	-0.6201824	Yes	
row_46	PSMD11	13783	-3.453814744949341	-0.61101717	Yes	
row_47	RPA2	13802	-3.4789621829986572	-0.60097694	Yes	
row_48	PSMD9	13825	-3.498201847076416	-0.59113926	Yes	
row_49	PSMD14	13984	-3.7826273441314697	-0.58937925	Yes	
row_50	PSMD7	14029	-3.858494758605957	-0.5798337	Yes	
row_51	POLE4	14071	-3.936347246170044	-0.56983835	Yes	
row_52	PSMC6	14079	-3.952395439147949	-0.5575422	Yes	
row_53	DBF4	14166	-4.108557224273682	-0.5499675	Yes	
row_54	PSMB6	14198	-4.173231601715088	-0.538546	Yes	
row_55	PSMA4	14233	-4.227622985839844	-0.52714735	Yes	
row_56	MCM3	14255	-4.267348289489746	-0.5147605	Yes	
row_57	PSMA2	14457	-4.729596138000488	-0.5127878	Yes	
row_58	POLA2	14533	-4.911606788635254	-0.5018931	Yes	
row_59	PSMB3	14612	-5.115108013153076	-0.49053988	Yes	
row_60	PSMB1	14628	-5.164187908172607	-0.474861	Yes	
row_61	PSMA3	14819	-5.888686656951904	-0.4684189	Yes	
row_62	PSMC2	14822	-5.915173530578613	-0.44945577	Yes	
row_63	PRIM1	14837	-5.979046821594238	-0.43108022	Yes	
row_64	E2F2	14855	-6.047989368438721	-0.41268054	Yes	
row_65	GMNN	14966	-6.903538703918457	-0.39767057	Yes	
row_66	PSMD4	15077	-8.499289512634277	-0.3775092	Yes	
row_67	CDT1	15106	-9.036434173583984	-0.3501898	Yes	
row_68	PSMB4	15113	-9.18789291381836	-0.32092625	Yes	
row_69	PSMA5	15135	-10.147501945495605	-0.2895571	Yes	
row_70	PSMA6	15141	-10.422077178955078	-0.2562432	Yes	
row_71	PSMB10	15161	-12.009282112121582	-0.21873151	Yes	
row_72	PSMB8	15186	-15.76928997039795	-0.16941248	Yes	
row_73	PSME1	15187	-16.251163482666016	-0.11695035	Yes	
row_74	PSME2	15191	-17.950611114501953	-0.059200484	Yes	
row_75	PSMB9	15193	-18.359058380126953	2.2398308E-7	Yes	
