NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	1695	3.07969069480896	-0.10402961	No	
row_1	RB1	4808	0.3515860140323639	-0.3092477	No	
row_2	PSMD1	5314	0.22554078698158264	-0.3420976	No	
row_3	RFC1	7037	-0.09640472382307053	-0.45591658	No	
row_4	PSME3	7201	-0.12382311373949051	-0.46638277	No	
row_5	E2F3	7587	-0.19706083834171295	-0.49135944	No	
row_6	PSME4	7688	-0.21744674444198608	-0.497401	No	
row_7	FZR1	7720	-0.22322435677051544	-0.498856	No	
row_8	PSMC4	7911	-0.26553699374198914	-0.5107308	No	
row_9	RPS27A	8450	-0.3954343795776367	-0.5453113	No	
row_10	LIG1	8962	-0.5267021656036377	-0.577751	No	
row_11	RPA1	9088	-0.5625913143157959	-0.58452314	No	
row_12	PSMD5	9468	-0.6802237033843994	-0.6078065	No	
row_13	PSMD3	9736	-0.7770227789878845	-0.62341064	No	
row_14	PSMD8	9916	-0.840112566947937	-0.6330158	No	
row_15	CCNA1	10008	-0.8723130226135254	-0.6367049	No	
row_16	POLD4	10096	-0.9068312048912048	-0.64003646	No	
row_17	GINS4	10153	-0.9281125068664551	-0.6412572	No	
row_18	POLE	10182	-0.9394860863685608	-0.64059263	No	
row_19	POLD1	10414	-1.0275328159332275	-0.65314	No	
row_20	MCM8	10570	-1.0927809476852417	-0.6604777	No	
row_21	UBB	10689	-1.14455246925354	-0.6652253	No	
row_22	UBC	10939	-1.2639217376708984	-0.67833126	No	
row_23	PSMD12	11082	-1.3253339529037476	-0.684184	No	
row_24	PSMD2	11084	-1.3259129524230957	-0.68069434	No	
row_25	PSMC5	11112	-1.3426692485809326	-0.67888224	No	
row_26	POLA1	11717	-1.6311213970184326	-0.71452105	No	
row_27	MCM10	11789	-1.6711336374282837	-0.7147429	No	
row_28	CDC6	11816	-1.6895831823349	-0.71193415	No	
row_29	PSMF1	11875	-1.725949764251709	-0.7111478	No	
row_30	PSMB7	12026	-1.8138827085494995	-0.7162203	No	
row_31	PSMC1	12253	-1.983543872833252	-0.72587264	No	
row_32	PSMD10	12407	-2.0914218425750732	-0.73039955	No	
row_33	PSMB5	12517	-2.166536569595337	-0.7318102	Yes	
row_34	PSMA1	12543	-2.193392038345337	-0.72758406	Yes	
row_35	RFC5	12555	-2.2020509243011475	-0.7224073	Yes	
row_36	RFC3	12614	-2.2513935565948486	-0.72021174	Yes	
row_37	PSMD6	12747	-2.3660945892333984	-0.7226109	Yes	
row_38	CDC7	12821	-2.428292989730835	-0.7209346	Yes	
row_39	RPA3	12933	-2.5309202671051025	-0.7215006	Yes	
row_40	DNA2	13072	-2.67870831489563	-0.7234588	Yes	
row_41	PSMD13	13082	-2.6853890419006348	-0.71685326	Yes	
row_42	UBA52	13090	-2.697148323059082	-0.71008366	Yes	
row_43	POLE2	13147	-2.74045467376709	-0.7064441	Yes	
row_44	PSMA7	13200	-2.785933256149292	-0.7024175	Yes	
row_45	MCM7	13219	-2.8050425052642822	-0.6960873	Yes	
row_46	POLE3	13280	-2.856867551803589	-0.69240046	Yes	
row_47	FEN1	13299	-2.8852133750915527	-0.68585527	Yes	
row_48	MCM5	13318	-2.9045684337615967	-0.67925817	Yes	
row_49	POLD3	13333	-2.919015407562256	-0.67235726	Yes	
row_50	CDKN1B	13389	-2.9834158420562744	-0.66799986	Yes	
row_51	CDK2	13406	-2.992527484893799	-0.66103435	Yes	
row_52	PRIM2	13411	-2.996981382369995	-0.6532619	Yes	
row_53	PSMB2	13467	-3.0542337894439697	-0.64871454	Yes	
row_54	GINS3	13516	-3.107917547225952	-0.6435595	Yes	
row_55	PSMC3	13560	-3.16575288772583	-0.6379181	Yes	
row_56	MCM4	13596	-3.2002570629119873	-0.6316542	Yes	
row_57	GINS1	13627	-3.248599052429199	-0.6249294	Yes	
row_58	E2F1	13637	-3.2661292552948	-0.6167664	Yes	
row_59	MCM2	13714	-3.367718458175659	-0.61276954	Yes	
row_60	MCM6	13727	-3.384777307510376	-0.6044871	Yes	
row_61	SHFM1	13741	-3.4100396633148193	-0.59620315	Yes	
row_62	CDC45	13752	-3.4191815853118896	-0.58769596	Yes	
row_63	PSMD11	13783	-3.453814744949341	-0.5804208	Yes	
row_64	RPA2	13802	-3.4789621829986572	-0.57228327	Yes	
row_65	PSMD9	13825	-3.498201847076416	-0.56435907	Yes	
row_66	RFC4	13828	-3.4997189044952393	-0.5551059	Yes	
row_67	PSMD14	13984	-3.7826273441314697	-0.55522984	Yes	
row_68	PSMD7	14029	-3.858494758605957	-0.54779685	Yes	
row_69	POLE4	14071	-3.936347246170044	-0.5399564	Yes	
row_70	PSMC6	14079	-3.952395439147949	-0.52982044	Yes	
row_71	DBF4	14166	-4.108557224273682	-0.5244992	Yes	
row_72	PSMB6	14198	-4.173231601715088	-0.51536095	Yes	
row_73	PSMA4	14233	-4.227622985839844	-0.5062756	Yes	
row_74	MCM3	14255	-4.267348289489746	-0.49622244	Yes	
row_75	RFC2	14407	-4.59495210647583	-0.49390286	Yes	
row_76	PSMA2	14457	-4.729596138000488	-0.48446497	Yes	
row_77	POLA2	14533	-4.911606788635254	-0.47626138	Yes	
row_78	PSMB3	14612	-5.115108013153076	-0.4677108	Yes	
row_79	PSMB1	14628	-5.164187908172607	-0.454855	Yes	
row_80	POLD2	14662	-5.260095119476318	-0.44293445	Yes	
row_81	PSMA3	14819	-5.888686656951904	-0.43747652	Yes	
row_82	PSMC2	14822	-5.915173530578613	-0.4217455	Yes	
row_83	PRIM1	14837	-5.979046821594238	-0.40663815	Yes	
row_84	CCNA2	14841	-5.9945149421691895	-0.3907606	Yes	
row_85	E2F2	14855	-6.047989368438721	-0.3754021	Yes	
row_86	GINS2	14928	-6.556842803955078	-0.36258754	Yes	
row_87	GMNN	14966	-6.903538703918457	-0.34652454	Yes	
row_88	PCNA	14968	-6.914867877960205	-0.32804623	Yes	
row_89	PSMD4	15077	-8.499289512634277	-0.31240726	Yes	
row_90	CDT1	15106	-9.036434173583984	-0.29002795	Yes	
row_91	PSMB4	15113	-9.18789291381836	-0.26578504	Yes	
row_92	PSMA5	15135	-10.147501945495605	-0.2399623	Yes	
row_93	PSMA6	15141	-10.422077178955078	-0.21234326	Yes	
row_94	PSMB10	15161	-12.009282112121582	-0.18139505	Yes	
row_95	PSMB8	15186	-15.76928997039795	-0.14069436	Yes	
row_96	PSME1	15187	-16.251163482666016	-0.097111434	Yes	
row_97	PSME2	15191	-17.950611114501953	-0.04916962	Yes	
row_98	PSMB9	15193	-18.359058380126953	8.216011E-8	Yes	
