NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.019768428	Yes	
row_1	COL16A1	5	32.00046157836914	0.03955674	Yes	
row_2	BGN	6	31.933088302612305	0.059303395	Yes	
row_3	COL5A1	7	31.1781005859375	0.07858318	Yes	
row_4	SPARC	8	30.717422485351562	0.0975781	Yes	
row_5	COL1A2	11	29.397796630859375	0.11562361	Yes	
row_6	LAMB1	12	29.04438018798828	0.13358396	Yes	
row_7	LOXL2	15	28.417787551879883	0.15102345	Yes	
row_8	COL1A1	20	27.48004722595215	0.1677497	Yes	
row_9	COL6A3	22	27.351099014282227	0.18459627	Yes	
row_10	COL6A2	25	26.964008331298828	0.20113678	Yes	
row_11	COL3A1	27	26.716320037841797	0.21759082	Yes	
row_12	LOXL1	31	26.20947265625	0.23359807	Yes	
row_13	SH3PXD2B	35	25.58076286315918	0.24921653	Yes	
row_14	THBS1	36	25.442819595336914	0.26494977	Yes	
row_15	MMP2	37	25.394012451171875	0.2806528	Yes	
row_16	COL8A1	42	24.576276779174805	0.29558343	Yes	
row_17	VCAN	43	24.292301177978516	0.3106052	Yes	
row_18	MMP14	54	23.417184829711914	0.32441893	Yes	
row_19	COL6A1	55	23.202693939208984	0.33876693	Yes	
row_20	CREB3L1	58	22.916597366333008	0.3528046	Yes	
row_21	COL5A2	59	22.85744857788086	0.3669391	Yes	
row_22	FN1	71	21.863208770751953	0.37972522	Yes	
row_23	TIMP2	75	21.398393630981445	0.3927574	Yes	
row_24	NID1	79	21.17734146118164	0.40565288	Yes	
row_25	JAM3	100	19.67061424255371	0.41648296	Yes	
row_26	SULF2	102	19.666770935058594	0.42857772	Yes	
row_27	LOX	115	19.259807586669922	0.43968725	Yes	
row_28	ITGA5	116	19.25518226623535	0.4515942	Yes	
row_29	ITGA11	122	19.0181827545166	0.46302113	Yes	
row_30	SERPINE1	126	18.914012908935547	0.47451705	Yes	
row_31	ADAM12	134	18.654354095458984	0.48558563	Yes	
row_32	MATN3	140	18.34299087524414	0.49659503	Yes	
row_33	HTRA1	147	17.762527465820312	0.50717884	Yes	
row_34	DCN	165	17.14639663696289	0.51664805	Yes	
row_35	SH3PXD2A	208	15.235776901245117	0.5232685	Yes	
row_36	COL4A2	212	15.11036205291748	0.53241235	Yes	
row_37	BMP1	213	15.095419883728027	0.541747	Yes	
row_38	COL14A1	218	15.053777694702148	0.5507891	Yes	
row_39	HSPG2	226	14.778420448303223	0.55946094	Yes	
row_40	COL4A1	228	14.725882530212402	0.5685004	Yes	
row_41	ELN	242	14.351383209228516	0.576508	Yes	
row_42	FLRT2	257	13.977052688598633	0.58421737	Yes	
row_43	NID2	260	13.898611068725586	0.5926786	Yes	
