NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROCR	1960	2.512794017791748	-0.12584743	No	
row_1	FAM46A	2035	2.3910741806030273	-0.12698571	No	
row_2	C1S	3246	1.0623574256896973	-0.20544654	No	
row_3	IFITM2	3616	0.8438947796821594	-0.22855575	No	
row_4	IL4R	3921	0.6852453351020813	-0.24760996	No	
row_5	ELF1	3977	0.6633440852165222	-0.25020856	No	
row_6	CNP	6859	-0.06416317075490952	-0.4409023	No	
row_7	LPAR6	8177	-0.3257485330104828	-0.5276083	No	
row_8	TXNIP	8423	-0.3890199065208435	-0.5432213	No	
row_9	STAT2	8966	-0.528697669506073	-0.5782834	No	
row_10	TRIM25	9930	-0.8457895517349243	-0.6407274	No	
row_11	OGFR	10289	-0.9795684814453125	-0.66289467	No	
row_12	CCRL2	11379	-1.4610499143600464	-0.7327149	No	
row_13	TRIM5	11458	-1.5014106035232544	-0.735518	No	
row_14	IL7	11763	-1.6542292833328247	-0.75304747	No	
row_15	SELL	11800	-1.6777313947677612	-0.7527917	No	
row_16	LGALS3BP	11895	-1.7420477867126465	-0.7562757	No	
row_17	CD47	12028	-1.816176414489746	-0.7621597	No	
row_18	TRAFD1	12208	-1.9568134546279907	-0.77093494	No	
row_19	NCOA7	12568	-2.214150905609131	-0.7912258	No	
row_20	IFITM3	12696	-2.318485736846924	-0.7959882	No	
row_21	LY6E	12945	-2.539930820465088	-0.8084155	No	
row_22	TRIM14	12972	-2.5758981704711914	-0.80608416	No	
row_23	PNPT1	13459	-3.049813985824585	-0.83347064	No	
row_24	BST2	13655	-3.285536289215088	-0.8412148	No	
row_25	RIPK2	13826	-3.498333215713501	-0.8469684	No	
row_26	SAMD9	14007	-3.824904680252075	-0.8528704	Yes	
row_27	EPSTI1	14015	-3.8336119651794434	-0.8473018	Yes	
row_28	RSAD2	14195	-4.168782711029053	-0.85259646	Yes	
row_29	IFITM1	14208	-4.195068836212158	-0.8467902	Yes	
row_30	GMPR	14222	-4.216533184051514	-0.8410164	Yes	
row_31	EIF2AK2	14223	-4.217913627624512	-0.8343795	Yes	
row_32	UBA7	14276	-4.305954933166504	-0.8310478	Yes	
row_33	ADAR	14288	-4.344361782073975	-0.8249403	Yes	
row_34	HERC6	14315	-4.416736125946045	-0.81971246	Yes	
row_35	SLC25A28	14325	-4.431563377380371	-0.81333536	Yes	
row_36	TDRD7	14367	-4.520185470581055	-0.8089381	Yes	
row_37	MOV10	14424	-4.6418232917785645	-0.80534273	Yes	
row_38	GBP2	14476	-4.7694292068481445	-0.8012155	Yes	
row_39	RNF31	14709	-5.421448707580566	-0.8080491	Yes	
row_40	CSF1	14713	-5.443955421447754	-0.79968166	Yes	
row_41	MX1	14717	-5.455954551696777	-0.79129535	Yes	
row_42	SAMD9L	14773	-5.6452131271362305	-0.78605497	Yes	
row_43	DHX58	14795	-5.73591947555542	-0.77842015	Yes	
row_44	PSMA3	14819	-5.888686656951904	-0.77067745	Yes	
row_45	TMEM140	14879	-6.233294486999512	-0.76477665	Yes	
row_46	CASP8	14880	-6.238855361938477	-0.75495976	Yes	
row_47	TRIM26	14881	-6.242210865020752	-0.7451376	Yes	
row_48	NUB1	14897	-6.353861331939697	-0.73613316	Yes	
row_49	IRF2	14903	-6.388325214385986	-0.7264122	Yes	
row_50	IL15	14985	-7.074131965637207	-0.72064525	Yes	
row_51	CASP1	14989	-7.123823165893555	-0.70963454	Yes	
row_52	DDX60	14996	-7.231655120849609	-0.69865286	Yes	
row_53	CMPK2	15011	-7.463648796081543	-0.68783593	Yes	
row_54	ISG20	15014	-7.5381903648376465	-0.676107	Yes	
row_55	IRF7	15027	-7.740503311157227	-0.66472197	Yes	
row_56	PARP9	15029	-7.781073093414307	-0.6525446	Yes	
row_57	PARP14	15033	-7.806068420410156	-0.6404604	Yes	
row_58	OAS1	15036	-7.834973335266113	-0.6282645	Yes	
row_59	IFI44L	15037	-7.836197376251221	-0.61593413	Yes	
row_60	LAMP3	15042	-7.90110969543457	-0.6037666	Yes	
row_61	OASL	15044	-7.94619607925415	-0.59132946	Yes	
row_62	WARS	15047	-7.961101055145264	-0.5789351	Yes	
row_63	CD74	15048	-8.001235008239746	-0.5663451	Yes	
row_64	IFI44	15070	-8.325431823730469	-0.5546357	Yes	
row_65	IFIT2	15075	-8.426925659179688	-0.54164076	Yes	
row_66	IFIT3	15078	-8.512880325317383	-0.5283782	Yes	
row_67	IFI27	15081	-8.549309730529785	-0.5150582	Yes	
row_68	SP110	15094	-8.745929718017578	-0.50209117	Yes	
row_69	USP18	15105	-8.998071670532227	-0.4885949	Yes	
row_70	LAP3	15107	-9.054370880126953	-0.47441402	Yes	
row_71	ISG15	15115	-9.207924842834473	-0.46038887	Yes	
row_72	RTP4	15120	-9.298943519592285	-0.44602183	Yes	
row_73	PARP12	15125	-9.407758712768555	-0.43148357	Yes	
row_74	IFI30	15134	-10.030172348022461	-0.41623083	Yes	
row_75	B2M	15138	-10.261972427368164	-0.40028223	Yes	
row_76	TRIM21	15140	-10.289429664611816	-0.384158	Yes	
row_77	HLA-C	15149	-11.099032402038574	-0.36722338	Yes	
row_78	IFIH1	15153	-11.165946960449219	-0.34985238	Yes	
row_79	CXCL11	15156	-11.474527359008789	-0.3319296	Yes	
row_80	IRF9	15157	-11.687451362609863	-0.31353933	Yes	
row_81	BATF2	15165	-12.610295295715332	-0.29416052	Yes	
row_82	IFI35	15168	-12.717256546020508	-0.2742823	Yes	
row_83	PLSCR1	15169	-12.766364097595215	-0.25419435	Yes	
row_84	NMI	15176	-13.594440460205078	-0.23320077	Yes	
row_85	IRF1	15181	-14.451542854309082	-0.21072608	Yes	
