NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LATS2	123	18.993877410888672	0.010213872	No	
row_1	SELP	505	9.511499404907227	-0.0059693353	No	
row_2	ARID5B	743	7.255057334899902	-0.014738356	No	
row_3	VCAM1	957	5.750356197357178	-0.023365939	No	
row_4	PTGS2	1559	3.42555570602417	-0.060119376	No	
row_5	CFH	1573	3.399174690246582	-0.057690546	No	
row_6	TNFAIP6	1605	3.3363137245178223	-0.056522902	No	
row_7	CDKN1A	1695	3.07969069480896	-0.05947151	No	
row_8	IL6	1896	2.6373894214630127	-0.07025043	No	
row_9	PELI1	2347	1.925819754600525	-0.09838925	No	
row_10	SOCS3	2555	1.682094931602478	-0.11056114	No	
row_11	C1R	2663	1.5494478940963745	-0.11619363	No	
row_12	HIF1A	2802	1.4158730506896973	-0.124022715	No	
row_13	ARL4A	2940	1.3056542873382568	-0.13189198	No	
row_14	P2RY14	3124	1.151597023010254	-0.14297788	No	
row_15	RAPGEF6	3137	1.1382505893707275	-0.14267446	No	
row_16	C1S	3246	1.0623574256896973	-0.14884588	No	
row_17	FAS	3323	1.0184681415557861	-0.15292612	No	
row_18	SSPN	3339	1.0006542205810547	-0.15295613	No	
row_19	IFITM2	3616	0.8438947796821594	-0.17054161	No	
row_20	AUTS2	3625	0.8383815288543701	-0.1702622	No	
row_21	PIM1	3773	0.7542111277580261	-0.17933291	No	
row_22	PTPN1	3826	0.7307386994361877	-0.18209179	No	
row_23	IL4R	3921	0.6852453351020813	-0.18769532	No	
row_24	CSF2RB	4026	0.6425073742866516	-0.1940071	No	
row_25	ST3GAL5	4748	0.37011948227882385	-0.24172454	No	
row_26	FPR1	5515	0.18125754594802856	-0.2926257	No	
row_27	SERPING1	5826	0.11124937236309052	-0.3131886	No	
row_28	ICAM1	6025	0.07419837266206741	-0.32631934	No	
row_29	NOD1	6341	0.017552556470036507	-0.34730652	No	
row_30	NCOA3	6683	-0.03517007455229759	-0.3700103	No	
row_31	CMKLR1	6766	-0.04920808598399162	-0.37543035	No	
row_32	STAT3	6913	-0.07345505058765411	-0.3850944	No	
row_33	PNP	7061	-0.099444679915905	-0.39479995	No	
row_34	BPGM	7086	-0.10452032089233398	-0.39629892	No	
row_35	TNFAIP3	7142	-0.11494102329015732	-0.3998549	No	
row_36	PLA2G4A	7159	-0.11687658727169037	-0.40080845	No	
row_37	ISOC1	7502	-0.17911699414253235	-0.42343935	No	
row_38	ST8SIA4	8122	-0.3118402659893036	-0.4644119	No	
row_39	RIPK1	8155	-0.31941062211990356	-0.466236	No	
row_40	NUP93	8328	-0.3637353181838989	-0.4773523	No	
row_41	TXNIP	8423	-0.3890199065208435	-0.48324305	No	
row_42	PDE4B	8622	-0.43743079900741577	-0.49602157	No	
row_43	STAT2	8966	-0.528697669506073	-0.5183802	No	
row_44	CCL2	9277	-0.6213082075119019	-0.53844863	No	
row_45	CASP4	9282	-0.6233019232749939	-0.53811103	No	
row_46	BANK1	9461	-0.6793007850646973	-0.5493215	No	
row_47	TRIM25	9930	-0.8457895517349243	-0.5797077	No	
row_48	CASP7	9994	-0.8663594126701355	-0.58306855	No	
row_49	OGFR	10289	-0.9795684814453125	-0.6017227	No	
row_50	MVP	10523	-1.0729013681411743	-0.6162189	No	
row_51	TOR1B	10669	-1.1337844133377075	-0.6247883	No	
row_52	GBP6	10836	-1.2179691791534424	-0.6346763	No	
row_53	PML	10926	-1.2570445537567139	-0.639392	No	
row_54	METTL7B	11167	-1.3707345724105835	-0.6540662	No	
row_55	IRF8	11170	-1.372139573097229	-0.6528692	No	
row_56	MT2A	11283	-1.4227252006530762	-0.65895796	No	
row_57	PFKP	11335	-1.447816014289856	-0.6609549	No	
row_58	UPP1	11369	-1.4585260152816772	-0.66174126	No	
row_59	BTG1	11719	-1.6322970390319824	-0.68342996	No	
row_60	IL7	11763	-1.6542292833328247	-0.68469334	No	
row_61	CCL7	11778	-1.6637626886367798	-0.6840138	No	
row_62	LGALS3BP	11895	-1.7420477867126465	-0.69005966	No	
row_63	MYD88	11919	-1.753706693649292	-0.689893	No	
row_64	IL10RA	11923	-1.7565268278121948	-0.68839	No	
row_65	NAMPT	12007	-1.8006925582885742	-0.69217855	No	
row_66	NFKB1	12016	-1.8070248365402222	-0.69096	No	
row_67	TRAFD1	12208	-1.9568134546279907	-0.7017987	No	
row_68	TNFAIP2	12225	-1.96839439868927	-0.70095706	No	
row_69	CASP3	12282	-2.0058348178863525	-0.7027464	No	
row_70	MARCH1	12428	-2.1027591228485107	-0.71037626	No	
row_71	IFNAR2	12472	-2.1353583335876465	-0.7111732	No	
row_72	FCGR1A	12654	-2.291243553161621	-0.72102076	No	
row_73	ZNFX1	12671	-2.3047001361846924	-0.71985316	No	
row_74	VAMP5	12690	-2.3147482872009277	-0.7188091	No	
row_75	IFITM3	12696	-2.318485736846924	-0.7168946	No	
row_76	LY6E	12945	-2.539930820465088	-0.73096865	No	
row_77	TRIM14	12972	-2.5758981704711914	-0.7302049	No	
row_78	IRF5	12995	-2.6035335063934326	-0.7291476	No	
row_79	RNF213	13035	-2.639169692993164	-0.72918934	No	
row_80	STAT4	13296	-2.8807196617126465	-0.7437331	No	
