NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1251	4.394615173339844	-0.06790095	No	
row_1	RNASEL	2120	2.2573845386505127	-0.11766529	No	
row_2	SOCS3	2555	1.682094931602478	-0.1406942	No	
row_3	PTPN11	3165	1.1181504726409912	-0.17716892	No	
row_4	IFITM2	3616	0.8438947796821594	-0.20406151	No	
row_5	PTPN1	3826	0.7307386994361877	-0.21541703	No	
row_6	IFNAR1	5883	0.0994468405842781	-0.35086527	No	
row_7	IP6K2	6910	-0.07324445247650146	-0.41837853	No	
row_8	JAK1	7287	-0.14059318602085114	-0.4427393	No	
row_9	TYK2	7772	-0.23649437725543976	-0.4739114	No	
row_10	STAT2	8966	-0.528697669506073	-0.55092835	No	
row_11	IRF3	10453	-1.0421053171157837	-0.6455761	No	
row_12	IRF8	11170	-1.372139573097229	-0.6882667	No	
row_13	IFITM3	12696	-2.318485736846924	-0.78121567	No	
row_14	IRF5	12995	-2.6035335063934326	-0.7921772	No	
row_15	ABCE1	13059	-2.6610307693481445	-0.78742635	No	
row_16	IRF6	13385	-2.9780666828155518	-0.79891676	No	
row_17	BST2	13655	-3.285536289215088	-0.8056791	No	
row_18	MX2	13862	-3.5691821575164795	-0.80733097	No	
row_19	IRF4	14084	-3.9595301151275635	-0.8086662	Yes	
row_20	RSAD2	14195	-4.168782711029053	-0.8019701	Yes	
row_21	IFITM1	14208	-4.195068836212158	-0.78871393	Yes	
row_22	SAMHD1	14283	-4.33425235748291	-0.77908623	Yes	
row_23	ADAR	14288	-4.344361782073975	-0.76480174	Yes	
row_24	HLA-G	14427	-4.646975994110107	-0.7583534	Yes	
row_25	GBP2	14476	-4.7694292068481445	-0.7455513	Yes	
row_26	OAS3	14664	-5.260453224182129	-0.7402845	Yes	
row_27	MX1	14717	-5.455954551696777	-0.7254475	Yes	
row_28	OAS2	14745	-5.5416669845581055	-0.70867234	Yes	
row_29	SOCS1	14785	-5.698240280151367	-0.6921654	Yes	
row_30	XAF1	14811	-5.8260178565979	-0.6743059	Yes	
row_31	PTPN6	14844	-6.000759124755859	-0.65632355	Yes	
row_32	IFI6	14900	-6.37869930267334	-0.6385945	Yes	
row_33	IRF2	14903	-6.388325214385986	-0.617333	Yes	
row_34	ISG20	15014	-7.5381903648376465	-0.5993532	Yes	
row_35	IRF7	15027	-7.740503311157227	-0.5742239	Yes	
row_36	OAS1	15036	-7.834973335266113	-0.548514	Yes	
row_37	OASL	15044	-7.94619607925415	-0.5223656	Yes	
row_38	IFIT2	15075	-8.426925659179688	-0.4961263	Yes	
row_39	IFIT3	15078	-8.512880325317383	-0.46774998	Yes	
row_40	IFIT1	15093	-8.74571418762207	-0.43938643	Yes	
row_41	USP18	15105	-8.998071670532227	-0.4099796	Yes	
row_42	ISG15	15115	-9.207924842834473	-0.37973797	Yes	
row_43	HLA-C	15149	-11.099032402038574	-0.34474826	Yes	
row_44	HLA-E	15150	-11.117681503295898	-0.30751675	Yes	
row_45	HLA-B	15151	-11.138444900512695	-0.2702157	Yes	
row_46	IRF9	15157	-11.687451362609863	-0.2314063	Yes	
row_47	HLA-A	15166	-12.697202682495117	-0.18941352	Yes	
row_48	IFI35	15168	-12.717256546020508	-0.14689128	Yes	
row_49	HLA-F	15179	-14.076173782348633	-0.100412615	Yes	
row_50	IRF1	15181	-14.451542854309082	-0.052082513	Yes	
row_51	PSMB8	15186	-15.76928997039795	4.6241647E-4	Yes	
