NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCG1	593	8.586529731750488	-0.02669814	No	
row_1	NEDD4	749	7.196889877319336	-0.026316008	No	
row_2	VCAM1	957	5.750356197357178	-0.03154396	No	
row_3	EGR1	1251	4.394615173339844	-0.044509504	No	
row_4	NCAM1	1704	3.050248861312866	-0.07005333	No	
row_5	TRIM29	1769	2.928892135620117	-0.069959044	No	
row_6	EIF4G3	1831	2.7997827529907227	-0.06985702	No	
row_7	TRIM2	1845	2.7673261165618896	-0.0666092	No	
row_8	MID1	1908	2.6082186698913574	-0.066858426	No	
row_9	KPNA3	2073	2.325068473815918	-0.07431581	No	
row_10	RNASEL	2120	2.2573845386505127	-0.07402178	No	
row_11	TRIM6	2376	1.8883191347122192	-0.08818363	No	
row_12	SOCS3	2555	1.682094931602478	-0.09752821	No	
row_13	RANBP2	2711	1.5016299486160278	-0.10561053	No	
row_14	POM121	2811	1.411210298538208	-0.11010085	No	
row_15	CAMK2G	2994	1.2558271884918213	-0.12034513	No	
row_16	TRIM35	3013	1.2402981519699097	-0.11969953	No	
row_17	PTPN11	3165	1.1181504726409912	-0.12808561	No	
row_18	TRIM62	3206	1.087740182876587	-0.12913069	No	
row_19	IFITM2	3616	0.8438947796821594	-0.15509233	No	
row_20	PTPN1	3826	0.7307386994361877	-0.16791366	No	
row_21	EIF4G2	3869	0.7049360275268555	-0.16966075	No	
row_22	NUP188	4219	0.5623418688774109	-0.1920483	No	
row_23	TRIM46	4766	0.36549514532089233	-0.22783726	No	
row_24	CAMK2D	4826	0.3478950262069702	-0.23124622	No	
row_25	TRIM8	4872	0.3348262310028076	-0.233743	No	
row_26	NUP214	5215	0.24815598130226135	-0.2561317	No	
row_27	ARIH1	5431	0.19769537448883057	-0.27014452	No	
row_28	KPNA5	5528	0.17712798714637756	-0.27626935	No	
row_29	EIF4G1	5796	0.11845576763153076	-0.2938601	No	
row_30	IFNAR1	5883	0.0994468405842781	-0.29943496	No	
row_31	ICAM1	6025	0.07419837266206741	-0.30870718	No	
row_32	PPM1B	6131	0.0552130751311779	-0.31561208	No	
row_33	NUP133	6307	0.023703139275312424	-0.32722178	No	
row_34	FLNB	6525	-0.009727789089083672	-0.34164703	No	
row_35	IP6K2	6910	-0.07324445247650146	-0.36709046	No	
row_36	EIF4E2	7156	-0.11673861742019653	-0.38321987	No	
row_37	JAK1	7287	-0.14059318602085114	-0.39166144	No	
row_38	TRIM68	7383	-0.1599220484495163	-0.39774528	No	
row_39	KPNA4	7471	-0.17360441386699677	-0.40327647	No	
row_40	CAMK2B	7696	-0.21876128017902374	-0.41785684	No	
row_41	TYK2	7772	-0.23649437725543976	-0.42249605	No	
row_42	CD44	7795	-0.24119213223457336	-0.4236015	No	
row_43	EIF4A2	8001	-0.28575053811073303	-0.43681803	No	
row_44	NUP160	8003	-0.2860491871833801	-0.43645945	No	
row_45	NUP93	8328	-0.3637353181838989	-0.4574786	No	
row_46	KPNB1	8424	-0.3896132707595825	-0.46322107	No	
row_47	RPS27A	8450	-0.3954343795776367	-0.46429694	No	
row_48	NUP50	8649	-0.4442495107650757	-0.4768121	No	
row_49	TRIM3	8787	-0.48072367906570435	-0.48521394	No	
row_50	STAT2	8966	-0.528697669506073	-0.49627274	No	
row_51	PIAS1	9103	-0.5668959617614746	-0.50447994	No	
row_52	KPNA1	9127	-0.5731744766235352	-0.5051586	No	
row_53	IFNGR1	9413	-0.6677454113960266	-0.5231308	No	
row_54	EIF4E	9756	-0.7843436002731323	-0.54472256	No	
row_55	AAAS	9849	-0.8163302540779114	-0.54963124	No	
row_56	TRIM25	9930	-0.8457895517349243	-0.5536976	No	
row_57	NUP153	10395	-1.021911859512329	-0.5830545	No	
row_58	IRF3	10453	-1.0421053171157837	-0.5852986	No	
row_59	UBB	10689	-1.14455246925354	-0.599235	No	
row_60	PTAFR	10704	-1.1495193243026733	-0.5984582	No	
row_61	TPR	10777	-1.1920033693313599	-0.6014776	No	
row_62	NUP43	10818	-1.2102811336517334	-0.6023406	No	
row_63	GBP6	10836	-1.2179691791534424	-0.6016616	No	
row_64	PML	10926	-1.2570445537567139	-0.60571563	No	
row_65	UBC	10939	-1.2639217376708984	-0.60463566	No	
row_66	RAE1	11046	-1.310917854309082	-0.60974085	No	
row_67	NUP62	11120	-1.345521092414856	-0.6125987	No	
row_68	IRF8	11170	-1.372139573097229	-0.61381996	No	
row_69	NUP54	11176	-1.3747875690460205	-0.6121094	No	
row_70	MT2A	11283	-1.4227252006530762	-0.61704844	No	
row_71	NUPL2	11353	-1.4536491632461548	-0.6194794	No	
row_72	NUP205	11409	-1.4757696390151978	-0.62094593	No	
row_73	TRIM5	11458	-1.5014106035232544	-0.62190855	No	
row_74	MAPK3	11581	-1.562536358833313	-0.62770444	No	
row_75	TRIM17	11707	-1.6259347200393677	-0.6336057	No	
row_76	NUP155	11756	-1.6508495807647705	-0.6343462	No	
row_77	HLA-DQB2	11970	-1.7838993072509766	-0.6458685	No	
row_78	SUMO1	12426	-2.1005163192749023	-0.67302346	No	
row_79	TRIM34	12488	-2.146566390991211	-0.67389226	No	
row_80	EIF4A1	12500	-2.155383586883545	-0.6714208	No	
row_81	PIN1	12556	-2.203857421875	-0.6718052	No	
row_82	NUP107	12566	-2.213200092315674	-0.66911477	No	
row_83	FCGR1A	12654	-2.291243553161621	-0.67149866	No	
row_84	IFITM3	12696	-2.318485736846924	-0.67078114	No	
row_85	NUP210	12736	-2.3558599948883057	-0.66987497	No	
row_86	UBE2N	12743	-2.3613133430480957	-0.66676474	No	
row_87	GBP3	12752	-2.3703858852386475	-0.66377413	No	
row_88	PRKCD	12758	-2.377370834350586	-0.66057354	No	
row_89	TRIM14	12972	-2.5758981704711914	-0.6709187	No	
row_90	IRF5	12995	-2.6035335063934326	-0.66851324	No	
row_91	ABCE1	13059	-2.6610307693481445	-0.66875046	No	
row_92	UBA52	13090	-2.697148323059082	-0.6667382	No	
row_93	IFNGR2	13178	-2.7703535556793213	-0.66841	No	
row_94	EIF4A3	13266	-2.845674753189087	-0.66996986	No	
row_95	FCGR1B	13284	-2.8646903038024902	-0.66684353	No	
row_96	IRF6	13385	-2.9780666828155518	-0.6690717	No	
row_97	BST2	13655	-3.285536289215088	-0.68208855	No	
row_98	MX2	13862	-3.5691821575164795	-0.6904917	No	
row_99	HLA-DQB1	14003	-3.8160595893859863	-0.6941361	Yes	
row_100	IRF4	14084	-3.9595301151275635	-0.6935747	Yes	
row_101	TRIM22	14106	-3.9948954582214355	-0.6890348	Yes	
row_102	RSAD2	14195	-4.168782711029053	-0.6886948	Yes	
row_103	IFITM1	14208	-4.195068836212158	-0.6832585	Yes	
row_104	EIF2AK2	14223	-4.217913627624512	-0.6779213	Yes	
row_105	HLA-DQA1	14260	-4.2740678787231445	-0.67396456	Yes	
row_106	UBA7	14276	-4.305954933166504	-0.66856307	Yes	
row_107	SAMHD1	14283	-4.33425235748291	-0.66252065	Yes	
row_108	ADAR	14288	-4.344361782073975	-0.6563301	Yes	
row_109	KPNA2	14320	-4.4283223152160645	-0.6518114	Yes	
row_110	HLA-DQA2	14348	-4.473880290985107	-0.6469589	Yes	
row_111	NUP35	14414	-4.606971263885498	-0.64443713	Yes	
row_112	HLA-G	14427	-4.646975994110107	-0.6383292	Yes	
row_113	GBP2	14476	-4.7694292068481445	-0.63443476	Yes	
row_114	TRIM38	14545	-4.938676357269287	-0.63161963	Yes	
row_115	UBE2E1	14561	-4.988535404205322	-0.62520367	Yes	
row_116	SP100	14583	-5.0508809089660645	-0.6190943	Yes	
row_117	EIF4E3	14617	-5.128593921661377	-0.61366796	Yes	
row_118	TRIM45	14648	-5.215798854827881	-0.60791236	Yes	
row_119	OAS3	14664	-5.260453224182129	-0.6010923	Yes	
row_120	MX1	14717	-5.455954551696777	-0.5964437	Yes	
row_121	OAS2	14745	-5.5416669845581055	-0.5900042	Yes	
row_122	SOCS1	14785	-5.698240280151367	-0.58413047	Yes	
row_123	XAF1	14811	-5.8260178565979	-0.57713526	Yes	
row_124	JAK2	14842	-5.9995574951171875	-0.5702148	Yes	
row_125	PTPN6	14844	-6.000759124755859	-0.56136286	Yes	
row_126	TRIM26	14881	-6.242210865020752	-0.554481	Yes	
row_127	IFI6	14900	-6.37869930267334	-0.5461986	Yes	
row_128	IRF2	14903	-6.388325214385986	-0.5368372	Yes	
row_129	NUP37	14931	-6.579162120819092	-0.52885574	Yes	
row_130	NUP88	14945	-6.748496055603027	-0.519691	Yes	
row_131	NUP85	15001	-7.283298015594482	-0.51252615	Yes	
row_132	ISG20	15014	-7.5381903648376465	-0.5021212	Yes	
row_133	HLA-DPB1	15026	-7.668962478637695	-0.49145538	Yes	
row_134	IRF7	15027	-7.740503311157227	-0.4799512	Yes	
row_135	OAS1	15036	-7.834973335266113	-0.46883902	Yes	
row_136	DDX58	15039	-7.888282299041748	-0.4572483	Yes	
row_137	OASL	15044	-7.94619607925415	-0.44570464	Yes	
row_138	HLA-DRB5	15066	-8.290501594543457	-0.43478045	Yes	
row_139	GBP5	15074	-8.38549518585205	-0.4227835	Yes	
row_140	IFIT2	15075	-8.426925659179688	-0.4102592	Yes	
row_141	IFIT3	15078	-8.512880325317383	-0.3977402	Yes	
row_142	HLA-DRB1	15082	-8.55451488494873	-0.38522586	Yes	
row_143	IFIT1	15093	-8.74571418762207	-0.37289315	Yes	
row_144	GBP1	15097	-8.777756690979004	-0.36004704	Yes	
row_145	USP18	15105	-8.998071670532227	-0.3471397	Yes	
row_146	HLA-DPA1	15109	-9.121464729309082	-0.33378273	Yes	
row_147	ISG15	15115	-9.207924842834473	-0.32043037	Yes	
row_148	CIITA	15116	-9.241040229797363	-0.3066961	Yes	
row_149	HLA-DRA	15118	-9.25808334350586	-0.29300302	Yes	
row_150	STAT1	15122	-9.32321548461914	-0.27934623	Yes	
row_151	IFI30	15134	-10.030172348022461	-0.26517108	Yes	
row_152	B2M	15138	-10.261972427368164	-0.2501191	Yes	
row_153	TRIM21	15140	-10.289429664611816	-0.2348932	Yes	
row_154	HLA-C	15149	-11.099032402038574	-0.21892986	Yes	
row_155	HLA-E	15150	-11.117681503295898	-0.20240647	Yes	
row_156	HLA-B	15151	-11.138444900512695	-0.1858522	Yes	
row_157	IRF9	15157	-11.687451362609863	-0.1688147	Yes	
row_158	HERC5	15158	-11.813169479370117	-0.15125765	Yes	
row_159	HLA-A	15166	-12.697202682495117	-0.13285252	Yes	
row_160	IFI35	15168	-12.717256546020508	-0.114018336	Yes	
row_161	HLA-F	15179	-14.076173782348633	-0.09376337	Yes	
row_162	IRF1	15181	-14.451542854309082	-0.072351635	Yes	
row_163	UBE2L6	15185	-15.347854614257812	-0.049740862	Yes	
row_164	PSMB8	15186	-15.76928997039795	-0.026304116	Yes	
row_165	GBP4	15192	-17.96729278564453	6.665074E-5	Yes	
