NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GARS	3659	0.8189606666564941	-0.2403314	No	
row_1	MRPS35	4647	0.3993714451789856	-0.3046569	No	
row_2	MRPS27	5729	0.13277964293956757	-0.37596706	No	
row_3	LARS2	6562	-0.017267942428588867	-0.4310908	No	
row_4	EARS2	7162	-0.1178140714764595	-0.4704803	No	
row_5	MTIF3	7982	-0.2807380259037018	-0.5239995	No	
row_6	MTRF1L	8187	-0.3277423083782196	-0.5366038	No	
row_7	HARS	8330	-0.3640592098236084	-0.5449943	No	
row_8	MRPL45	8440	-0.39334267377853394	-0.55111396	No	
row_9	MRPS31	8644	-0.4431954026222229	-0.56332654	No	
row_10	MRPL19	8991	-0.5359519124031067	-0.58476055	No	
row_11	C10orf2	9064	-0.5567317008972168	-0.5879662	No	
row_12	RARS2	9129	-0.5736194252967834	-0.59059376	No	
row_13	TRNT1	9213	-0.6037282347679138	-0.5943964	No	
row_14	HARS2	9324	-0.6372894048690796	-0.59989494	No	
row_15	POLRMT	9493	-0.6867980360984802	-0.6091001	No	
row_16	GFM2	9612	-0.7324147820472717	-0.6148611	No	
row_17	AARS2	9725	-0.7727311849594116	-0.6201105	No	
row_18	GFM1	9781	-0.7952114939689636	-0.6215168	No	
row_19	MRPS2	9957	-0.8545420169830322	-0.63071346	No	
row_20	MRPL50	10117	-0.916244387626648	-0.6386752	No	
row_21	PTCD3	10295	-0.9813615083694458	-0.64764714	No	
row_22	MTIF2	10436	-1.0357015132904053	-0.6540123	No	
row_23	MRPL3	10531	-1.0756205320358276	-0.6572146	No	
row_24	MRRF	10563	-1.0883686542510986	-0.6562032	No	
row_25	MRPS10	10699	-1.1482410430908203	-0.6619197	No	
row_26	MRPL33	10737	-1.1636065244674683	-0.6610942	No	
row_27	FASTKD5	10932	-1.2621439695358276	-0.67040217	No	
row_28	ELAC2	11094	-1.3337459564208984	-0.67732006	No	
row_29	MRPL1	11487	-1.5124492645263672	-0.69905263	No	
