NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GARS	3659	0.8189606666564941	-0.23999852	No	
row_1	MRPS35	4647	0.3993714451789856	-0.30419672	No	
row_2	MRPS27	5729	0.13277964293956757	-0.37543148	No	
row_3	LARS2	6562	-0.017267942428588867	-0.43051505	No	
row_4	EARS2	7162	-0.1178140714764595	-0.46985343	No	
row_5	MTIF3	7982	-0.2807380259037018	-0.5232777	No	
row_6	MTRF1L	8187	-0.3277423083782196	-0.5358041	No	
row_7	HARS	8330	-0.3640592098236084	-0.5441119	No	
row_8	MRPL45	8440	-0.39334267377853394	-0.55014414	No	
row_9	MRPS31	8644	-0.4431954026222229	-0.56225467	No	
row_10	MRPL19	8991	-0.5359519124031067	-0.5835608	No	
row_11	RARS2	9129	-0.5736194252967834	-0.5909027	No	
row_12	HARS2	9324	-0.6372894048690796	-0.60182905	No	
row_13	GFM2	9612	-0.7324147820472717	-0.6186304	No	
row_14	AARS2	9725	-0.7727311849594116	-0.6237126	No	
row_15	GFM1	9781	-0.7952114939689636	-0.62494934	No	
row_16	MRPS2	9957	-0.8545420169830322	-0.63395876	No	
row_17	MRPL50	10117	-0.916244387626648	-0.641721	No	
row_18	PTCD3	10295	-0.9813615083694458	-0.6504789	No	
row_19	MTIF2	10436	-1.0357015132904053	-0.6566203	No	
row_20	MRPL3	10531	-1.0756205320358276	-0.65959245	No	
row_21	MRRF	10563	-1.0883686542510986	-0.65835106	No	
row_22	MRPS10	10699	-1.1482410430908203	-0.6638203	No	
row_23	MRPL33	10737	-1.1636065244674683	-0.6627487	No	
row_24	MRPL1	11487	-1.5124492645263672	-0.70780426	No	
row_25	MRPL28	11547	-1.5452357530593872	-0.70703495	No	
row_26	MRPL44	11583	-1.563178539276123	-0.70462084	No	
row_27	QRSL1	11962	-1.7801684141159058	-0.7242799	Yes	
row_28	MRPL39	12036	-1.8235663175582886	-0.7235955	Yes	
row_29	MRPS5	12111	-1.8809399604797363	-0.72280365	Yes	
row_30	MRPL10	12124	-1.8907862901687622	-0.7178733	Yes	
row_31	DARS2	12240	-1.9787063598632812	-0.7195024	Yes	
row_32	ERAL1	12306	-2.0266716480255127	-0.71767277	Yes	
row_33	MRPL48	12419	-2.096282482147217	-0.7187471	Yes	
row_34	POLG2	12440	-2.112342596054077	-0.7136759	Yes	
row_35	C12orf65	12547	-2.195124387741089	-0.7140533	Yes	
row_36	GADD45GIP1	12578	-2.2260689735412598	-0.70930046	Yes	
row_37	MRPS36	12699	-2.3207993507385254	-0.71022505	Yes	
row_38	MRPL30	12704	-2.3257901668548584	-0.7034472	Yes	
row_39	MRPS14	12718	-2.339916944503784	-0.6972231	Yes	
row_40	MRPL41	12734	-2.3548178672790527	-0.6910864	Yes	
row_41	MRPS25	12757	-2.375905752182007	-0.6853497	Yes	
row_42	MRPL42	12759	-2.3789350986480713	-0.67821217	Yes	
row_43	MRPS9	12768	-2.3856873512268066	-0.6715181	Yes	
row_44	MRPS12	12777	-2.3951172828674316	-0.66479546	Yes	
row_45	MRPS16	12904	-2.5082576274871826	-0.66555	Yes	
row_46	YARS2	12905	-2.5091426372528076	-0.6579519	Yes	
row_47	MRPS34	12950	-2.5433688163757324	-0.65316606	Yes	
row_48	MRPL46	13057	-2.6569931507110596	-0.6521448	Yes	
row_49	DAP3	13141	-2.7364015579223633	-0.64935887	Yes	
row_50	MRPS33	13157	-2.752824544906616	-0.6420169	Yes	
row_51	MRPL32	13173	-2.7683334350585938	-0.634628	Yes	
