NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.3062311	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37733436	No	
row_2	MRPL45	8440	-0.39334267377853394	-0.55538386	No	
row_3	MRPS31	8644	-0.4431954026222229	-0.56733924	No	
row_4	MRPL19	8991	-0.5359519124031067	-0.58844936	No	
row_5	GFM2	9612	-0.7324147820472717	-0.6270382	No	
row_6	GFM1	9781	-0.7952114939689636	-0.6355013	No	
row_7	MRPS2	9957	-0.8545420169830322	-0.6442296	No	
row_8	MRPL50	10117	-0.916244387626648	-0.65169275	No	
row_9	PTCD3	10295	-0.9813615083694458	-0.6601298	No	
row_10	MRPL3	10531	-1.0756205320358276	-0.67209077	No	
row_11	MRPS10	10699	-1.1482410430908203	-0.6793086	No	
row_12	MRPL33	10737	-1.1636065244674683	-0.67787087	No	
row_13	MRPL1	11487	-1.5124492645263672	-0.72239226	No	
row_14	MRPL28	11547	-1.5452357530593872	-0.72113603	No	
row_15	MRPL44	11583	-1.563178539276123	-0.7182314	No	
row_16	MRPL39	12036	-1.8235663175582886	-0.7420564	No	
row_17	MRPS5	12111	-1.8809399604797363	-0.7406717	No	
row_18	MRPL10	12124	-1.8907862901687622	-0.7351505	No	
row_19	ERAL1	12306	-2.0266716480255127	-0.74036086	No	
row_20	MRPL48	12419	-2.096282482147217	-0.7407719	No	
row_21	GADD45GIP1	12578	-2.2260689735412598	-0.74379396	No	
row_22	MRPS36	12699	-2.3207993507385254	-0.7439846	Yes	
row_23	MRPL30	12704	-2.3257901668548584	-0.73648095	Yes	
row_24	MRPS14	12718	-2.339916944503784	-0.72952586	Yes	
row_25	MRPL41	12734	-2.3548178672790527	-0.7226533	Yes	
row_26	MRPS25	12757	-2.375905752182007	-0.71617365	Yes	
row_27	MRPL42	12759	-2.3789350986480713	-0.708294	Yes	
row_28	MRPS9	12768	-2.3856873512268066	-0.7008551	Yes	
row_29	MRPS12	12777	-2.3951172828674316	-0.69338465	Yes	
row_30	MRPS16	12904	-2.5082576274871826	-0.69334626	Yes	
row_31	MRPS34	12950	-2.5433688163757324	-0.68782955	Yes	
row_32	MRPL46	13057	-2.6569931507110596	-0.6859706	Yes	
row_33	DAP3	13141	-2.7364015579223633	-0.68232423	Yes	
row_34	MRPS33	13157	-2.752824544906616	-0.67412233	Yes	
row_35	MRPL32	13173	-2.7683334350585938	-0.66586864	Yes	
row_36	MRPL47	13183	-2.7746527194976807	-0.6571967	Yes	
row_37	MRPL51	13195	-2.7844741344451904	-0.64862436	Yes	
row_38	MRPL35	13349	-2.9380486011505127	-0.6489374	Yes	
row_39	MRPS28	13357	-2.946404218673706	-0.6395595	Yes	
row_40	MRPL40	13399	-2.9882731437683105	-0.632292	Yes	
row_41	MRPL43	13525	-3.122074842453003	-0.6301372	Yes	
row_42	MRPL13	13623	-3.2432029247283936	-0.6257246	Yes	
row_43	MRPL20	13723	-3.380981683731079	-0.62098426	Yes	
row_44	MRPL27	13739	-3.404350519180298	-0.6106062	Yes	
row_45	MRPL17	13777	-3.4474234580993652	-0.6015403	Yes	
row_46	MRPL36	13817	-3.493652582168579	-0.59245247	Yes	
row_47	MRPL12	13829	-3.5024290084838867	-0.5814821	Yes	
row_48	MRPL55	13875	-3.5922420024871826	-0.572462	Yes	
row_49	MRPL54	13879	-3.5982306003570557	-0.5606422	Yes	
row_50	AURKAIP1	13932	-3.678981065750122	-0.5517957	Yes	
row_51	MRPL37	13936	-3.6850473880767822	-0.5396859	Yes	
row_52	MRPL49	14039	-3.8797852993011475	-0.533478	Yes	
row_53	MRPS15	14042	-3.8869876861572266	-0.5206275	Yes	
row_54	MRPL53	14056	-3.9076101779937744	-0.50843614	Yes	
row_55	MRPL34	14067	-3.929025173187256	-0.49597472	Yes	
row_56	MRPL21	14156	-4.085923194885254	-0.4881517	Yes	
row_57	MRPS11	14202	-4.1822099685668945	-0.4771611	Yes	
row_58	MRPL23	14210	-4.199289798736572	-0.4635984	Yes	
row_59	MRPL22	14230	-4.223350524902344	-0.45074955	Yes	
row_60	MRPS7	14281	-4.3230204582214355	-0.43961957	Yes	
row_61	CHCHD1	14300	-4.378484725952148	-0.42618638	Yes	
row_62	MRPS23	14379	-4.538193702697754	-0.4161909	Yes	
row_63	MRPL15	14421	-4.631931781768799	-0.40343344	Yes	
row_64	MRPS24	14422	-4.633852958679199	-0.38795596	Yes	
row_65	ICT1	14486	-4.792447566986084	-0.37611845	Yes	
row_66	MRPL24	14584	-5.051562786102295	-0.3656658	Yes	
row_67	MRPL52	14642	-5.202001094818115	-0.35206324	Yes	
row_68	MRPS26	14666	-5.260733127593994	-0.33601418	Yes	
row_69	MRPL4	14692	-5.356562614440918	-0.31977743	Yes	
row_70	MRPL9	14702	-5.379946708679199	-0.3024036	Yes	
row_71	MRPS18C	14729	-5.498904228210449	-0.2857576	Yes	
row_72	MRPS22	14774	-5.645648956298828	-0.2698128	Yes	
row_73	MRPS30	14797	-5.7443132400512695	-0.25208238	Yes	
row_74	MRPL38	14937	-6.654462814331055	-0.23905568	Yes	
row_75	MRPS18B	14943	-6.741949081420898	-0.2168679	Yes	
row_76	MRPS17	14956	-6.818495273590088	-0.19488774	Yes	
row_77	MRPS6	14973	-6.946475505828857	-0.17274487	Yes	
row_78	MRPL18	14979	-7.002421855926514	-0.14968708	Yes	
row_79	TSFM	14987	-7.108889579772949	-0.12640606	Yes	
row_80	MRPL2	15003	-7.306126594543457	-0.10299572	Yes	
row_81	MRPL11	15028	-7.742561340332031	-0.078723334	Yes	
row_82	MRPS18A	15057	-8.126211166381836	-0.053434264	Yes	
row_83	MRPL16	15073	-8.379801750183105	-0.026437763	Yes	
row_84	MRPL14	15139	-10.273327827453613	0.0035739958	Yes	
