NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.30623206	No	
row_1	MRPS27	5729	0.13277964293956757	-0.3773336	No	
row_2	MTRF1L	8187	-0.3277423083782196	-0.53885204	No	
row_3	MRPL45	8440	-0.39334267377853394	-0.55419904	No	
row_4	MRPS31	8644	-0.4431954026222229	-0.5661338	No	
row_5	MRPL19	8991	-0.5359519124031067	-0.5872194	No	
row_6	GFM2	9612	-0.7324147820472717	-0.62577534	No	
row_7	MRPS2	9957	-0.8545420169830322	-0.64564896	No	
row_8	MRPL50	10117	-0.916244387626648	-0.65306836	No	
row_9	PTCD3	10295	-0.9813615083694458	-0.6614585	No	
row_10	MRPL3	10531	-1.0756205320358276	-0.6733682	No	
row_11	MRRF	10563	-1.0883686542510986	-0.67173195	No	
row_12	MRPS10	10699	-1.1482410430908203	-0.67677665	No	
row_13	MRPL33	10737	-1.1636065244674683	-0.67528254	No	
row_14	MRPL1	11487	-1.5124492645263672	-0.7197338	No	
row_15	MRPL28	11547	-1.5452357530593872	-0.7184027	No	
row_16	MRPL44	11583	-1.563178539276123	-0.7154222	No	
row_17	MRPL39	12036	-1.8235663175582886	-0.73916066	Yes	
row_18	MRPS5	12111	-1.8809399604797363	-0.7376848	Yes	
row_19	MRPL10	12124	-1.8907862901687622	-0.7320718	Yes	
row_20	ERAL1	12306	-2.0266716480255127	-0.7371845	Yes	
row_21	MRPL48	12419	-2.096282482147217	-0.7374942	Yes	
row_22	C12orf65	12547	-2.195124387741089	-0.73846173	Yes	
row_23	GADD45GIP1	12578	-2.2260689735412598	-0.732904	Yes	
row_24	MRPS36	12699	-2.3207993507385254	-0.7329824	Yes	
row_25	MRPL30	12704	-2.3257901668548584	-0.72536576	Yes	
row_26	MRPS14	12718	-2.339916944503784	-0.718297	Yes	
row_27	MRPL41	12734	-2.3548178672790527	-0.71131015	Yes	
row_28	MRPS25	12757	-2.375905752182007	-0.70471513	Yes	
row_29	MRPL42	12759	-2.3789350986480713	-0.6967199	Yes	
row_30	MRPS9	12768	-2.3856873512268066	-0.6891651	Yes	
row_31	MRPS12	12777	-2.3951172828674316	-0.68157834	Yes	
row_32	MRPS16	12904	-2.5082576274871826	-0.6814186	Yes	
row_33	MRPS34	12950	-2.5433688163757324	-0.6757785	Yes	
row_34	MRPL46	13057	-2.6569931507110596	-0.673791	Yes	
row_35	DAP3	13141	-2.7364015579223633	-0.67001194	Yes	
row_36	MRPS33	13157	-2.752824544906616	-0.66167635	Yes	
row_37	MRPL32	13173	-2.7683334350585938	-0.65328825	Yes	
row_38	MRPL47	13183	-2.7746527194976807	-0.64448154	Yes	
row_39	MRPL51	13195	-2.7844741344451904	-0.63577396	Yes	
row_40	MRPL35	13349	-2.9380486011505127	-0.6359449	Yes	
row_41	MRPS28	13357	-2.946404218673706	-0.62642384	Yes	
row_42	MRPL40	13399	-2.9882731437683105	-0.61901134	Yes	
row_43	MRPL43	13525	-3.122074842453003	-0.6167054	Yes	
row_44	MRPL13	13623	-3.2432029247283936	-0.61213565	Yes	
row_45	MRPL20	13723	-3.380981683731079	-0.60723144	Yes	
row_46	MRPL27	13739	-3.404350519180298	-0.59668803	Yes	
row_47	MRPL17	13777	-3.4474234580993652	-0.58745486	Yes	
row_48	MRPL36	13817	-3.493652582168579	-0.5781974	Yes	
row_49	MRPL12	13829	-3.5024290084838867	-0.5670569	Yes	
row_50	MRPL55	13875	-3.5922420024871826	-0.55786246	Yes	
row_51	MRPL54	13879	-3.5982306003570557	-0.5458678	Yes	
row_52	AURKAIP1	13932	-3.678981065750122	-0.5368428	Yes	
row_53	MRPL37	13936	-3.6850473880767822	-0.52455395	Yes	
row_54	MRPL49	14039	-3.8797852993011475	-0.518158	Yes	
row_55	MRPS15	14042	-3.8869876861572266	-0.5051186	Yes	
row_56	MRPL53	14056	-3.9076101779937744	-0.49273747	Yes	
row_57	MRPL34	14067	-3.929025173187256	-0.48008516	Yes	
row_58	MRPL21	14156	-4.085923194885254	-0.47206402	Yes	
row_59	MRPS11	14202	-4.1822099685668945	-0.4608704	Yes	
row_60	MRPL23	14210	-4.199289798736572	-0.44710368	Yes	
row_61	MRPL22	14230	-4.223350524902344	-0.43404973	Yes	
row_62	MRPS7	14281	-4.3230204582214355	-0.4227099	Yes	
row_63	CHCHD1	14300	-4.378484725952148	-0.40906405	Yes	
row_64	MRPS23	14379	-4.538193702697754	-0.39884838	Yes	
row_65	MRPL15	14421	-4.631931781768799	-0.38586608	Yes	
row_66	MRPS24	14422	-4.633852958679199	-0.37016344	Yes	
row_67	ICT1	14486	-4.792447566986084	-0.35809335	Yes	
row_68	MRPL24	14584	-5.051562786102295	-0.34739566	Yes	
row_69	MRPL52	14642	-5.202001094818115	-0.3335406	Yes	
row_70	MRPS26	14666	-5.260733127593994	-0.31723604	Yes	
row_71	MRPL4	14692	-5.356562614440918	-0.3007391	Yes	
row_72	MRPL9	14702	-5.379946708679199	-0.2831039	Yes	
row_73	MRPS18C	14729	-5.498904228210449	-0.26619086	Yes	
row_74	MRPS22	14774	-5.645648956298828	-0.24997193	Yes	
row_75	MRPS30	14797	-5.7443132400512695	-0.23196247	Yes	
row_76	MRPL38	14937	-6.654462814331055	-0.21861306	Yes	
row_77	MRPS18B	14943	-6.741949081420898	-0.19609772	Yes	
row_78	MRPS17	14956	-6.818495273590088	-0.17378631	Yes	
row_79	MRPS6	14973	-6.946475505828857	-0.15130599	Yes	
row_80	MRPL18	14979	-7.002421855926514	-0.12790798	Yes	
row_81	MRPL2	15003	-7.306126594543457	-0.10467224	Yes	
row_82	MRPL11	15028	-7.742561340332031	-0.08002376	Yes	
row_83	MRPS18A	15057	-8.126211166381836	-0.054339964	Yes	
row_84	MRPL16	15073	-8.379801750183105	-0.026936363	Yes	
row_85	MRPL14	15139	-10.273327827453613	0.0035742817	Yes	
