NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.058928765	Yes	
row_1	COL1A2	11	29.397796630859375	0.11473037	Yes	
row_2	COL1A1	20	27.48004722595215	0.1665487	Yes	
row_3	COL6A3	22	27.351099014282227	0.21858363	Yes	
row_4	COL6A2	25	26.964008331298828	0.26981515	Yes	
row_5	COL3A1	27	26.716320037841797	0.3206409	Yes	
row_6	MMP2	37	25.394012451171875	0.36841953	Yes	
row_7	COL8A1	42	24.576276779174805	0.4149706	Yes	
row_8	MMP14	54	23.417184829711914	0.45885152	Yes	
row_9	COL6A1	55	23.202693939208984	0.5030502	Yes	
row_10	COL5A2	59	22.85744857788086	0.5463931	Yes	
row_11	MRC2	118	19.15938377380371	0.57905984	Yes	
row_12	COL4A2	212	15.11036205291748	0.60170245	Yes	
row_13	COL4A1	228	14.725882530212402	0.6287632	Yes	
row_14	COL5A3	283	13.445183753967285	0.6508091	Yes	
row_15	COL11A1	308	12.975887298583984	0.67394197	Yes	
row_16	COL4A5	316	12.779044151306152	0.6978225	Yes	
row_17	COL10A1	334	12.442176818847656	0.720401	Yes	
row_18	CTSK	415	10.76870346069336	0.7356316	Yes	
row_19	COL12A1	451	10.256308555603027	0.7528576	Yes	
row_20	COL4A6	454	10.195211410522461	0.7721464	Yes	
row_21	COL15A1	481	9.83417797088623	0.7891626	Yes	
row_22	COL8A2	500	9.574555397033691	0.80621254	Yes	
row_23	COL2A1	519	9.34322452545166	0.8228218	Yes	
row_24	MMP11	542	9.092439651489258	0.8386892	Yes	
row_25	COL18A1	585	8.63586139678955	0.85236627	Yes	
row_26	COL7A1	692	7.690342903137207	0.86001605	Yes	
row_27	COL25A1	710	7.5265212059021	0.87323076	Yes	
row_28	COL6A6	816	6.652199745178223	0.878969	Yes	
row_29	MMP13	1366	3.9855713844299316	0.85030913	No	
row_30	MMP10	1624	3.2868869304656982	0.8395999	No	
row_31	ENPEP	1933	2.5548479557037354	0.8241285	No	
row_32	COL13A1	2552	1.6832282543182373	0.7865267	No	
row_33	FURIN	2781	1.4346766471862793	0.77420413	No	
row_34	KLK6	2905	1.3338849544525146	0.768623	No	
row_35	MMP1	3103	1.165686845779419	0.75783503	No	
row_36	MMP7	3338	1.0014234781265259	0.744291	No	
row_37	ADAMTS3	6429	0.004718590062111616	0.54025877	No	
row_38	MMP9	7962	-0.27696850895881653	0.43962422	No	
row_39	MMP15	8018	-0.28985923528671265	0.43654457	No	
row_40	ACE	8349	-0.36890357732772827	0.41545647	No	
row_41	CTSB	9055	-0.5549080967903137	0.36996043	No	
row_42	CTSD	9116	-0.5705710649490356	0.36708534	No	
row_43	MMP12	9573	-0.7140726447105408	0.33833465	No	
row_44	COL4A4	10239	-0.9606071710586548	0.29625273	No	
row_45	COL4A3	10884	-1.2394574880599976	0.25608867	No	
row_46	COL11A2	11521	-1.5303364992141724	0.21700697	No	
row_47	TMPRSS6	12179	-1.936295509338379	0.17731188	No	
row_48	ACE2	14184	-4.1516265869140625	0.052890666	No	
row_49	CTSS	14991	-7.176479339599609	0.0133387055	No	
