NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.057256076	Yes	
row_1	COL1A2	11	29.397796630859375	0.111480586	Yes	
row_2	COL1A1	20	27.48004722595215	0.16182458	Yes	
row_3	COL6A3	22	27.351099014282227	0.21239226	Yes	
row_4	COL6A2	25	26.964008331298828	0.26217726	Yes	
row_5	COL3A1	27	26.716320037841797	0.3115698	Yes	
row_6	MMP2	37	25.394012451171875	0.35798597	Yes	
row_7	COL8A1	42	24.576276779174805	0.4032186	Yes	
row_8	MMP14	54	23.417184829711914	0.44584307	Yes	
row_9	COL6A1	55	23.202693939208984	0.48879704	Yes	
row_10	COL5A2	59	22.85744857788086	0.5309138	Yes	
row_11	MRC2	118	19.15938377380371	0.5625514	Yes	
row_12	COL4A2	212	15.11036205291748	0.58438134	Yes	
row_13	COL4A1	228	14.725882530212402	0.61065185	Yes	
row_14	COL5A3	283	13.445183753967285	0.6319753	Yes	
row_15	COL11A1	308	12.975887298583984	0.6544116	Yes	
row_16	COL4A5	316	12.779044151306152	0.6776064	Yes	
row_17	COL10A1	334	12.442176818847656	0.6995171	Yes	
row_18	CTSK	415	10.76870346069336	0.71416825	Yes	
row_19	COL12A1	451	10.256308555603027	0.73084337	Yes	
row_20	COL4A6	454	10.195211410522461	0.74958515	Yes	
row_21	COL15A1	481	9.83417797088623	0.7660732	Yes	
row_22	COL8A2	500	9.574555397033691	0.78260916	Yes	
row_23	COL2A1	519	9.34322452545166	0.7987168	Yes	
row_24	MMP11	542	9.092439651489258	0.814096	Yes	
row_25	COL18A1	585	8.63586139678955	0.82730883	Yes	
row_26	TRAM2	586	8.632377624511719	0.84328955	Yes	
row_27	COL7A1	692	7.690342903137207	0.8505905	Yes	
row_28	COL25A1	710	7.5265212059021	0.8634011	Yes	
row_29	COL6A6	816	6.652199745178223	0.86878026	Yes	
row_30	MMP13	1366	3.9855713844299316	0.8398946	No	
row_31	TNXB	1456	3.725987672805786	0.8409135	No	
row_32	MMP10	1624	3.2868869304656982	0.8359672	No	
row_33	ENPEP	1933	2.5548479557037354	0.8203521	No	
row_34	COL13A1	2552	1.6832282543182373	0.7826464	No	
row_35	FURIN	2781	1.4346766471862793	0.7702419	No	
row_36	HIF1A	2802	1.4158730506896973	0.77154195	No	
row_37	KLK6	2905	1.3338849544525146	0.7672737	No	
row_38	MMP1	3103	1.165686845779419	0.756419	No	
row_39	MMP7	3338	1.0014234781265259	0.7428161	No	
row_40	ADAMTS3	6429	0.004718590062111616	0.53871626	No	
row_41	MMP9	7962	-0.27696850895881653	0.43803337	No	
row_42	MMP15	8018	-0.28985923528671265	0.43493697	No	
row_43	ACE	8349	-0.36890357732772827	0.4138219	No	
row_44	CTSB	9055	-0.5549080967903137	0.3682807	No	
row_45	CTSD	9116	-0.5705710649490356	0.3653737	No	
row_46	VPS33B	9215	-0.604013979434967	0.36001855	No	
row_47	MMP12	9573	-0.7140726447105408	0.337759	No	
row_48	AKR1C3	9902	-0.8337957262992859	0.31763667	No	
row_49	COL4A4	10239	-0.9606071710586548	0.29722065	No	
row_50	COL4A3	10884	-1.2394574880599976	0.25697607	No	
row_51	COL11A2	11521	-1.5303364992141724	0.2177984	No	
row_52	TMPRSS6	12179	-1.936295509338379	0.17798512	No	
row_53	ACE2	14184	-4.1516265869140625	0.053297468	No	
row_54	CTSS	14991	-7.176479339599609	0.013342948	No	
