NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL16A1	5	32.00046157836914	0.055425387	Yes	
row_1	COL5A1	7	31.1781005859375	0.109682456	Yes	
row_2	COL1A2	11	29.397796630859375	0.16070534	Yes	
row_3	COL1A1	20	27.48004722595215	0.2080562	Yes	
row_4	COL6A3	22	27.351099014282227	0.25564528	Yes	
row_5	COL6A2	25	26.964008331298828	0.30249378	Yes	
row_6	COL3A1	27	26.716320037841797	0.34897688	Yes	
row_7	COL8A1	42	24.576276779174805	0.39087155	Yes	
row_8	COL6A1	55	23.202693939208984	0.43050525	Yes	
row_9	COL5A2	59	22.85744857788086	0.47013256	Yes	
row_10	FN1	71	21.863208770751953	0.5074985	Yes	
row_11	COL14A1	218	15.053777694702148	0.5240727	Yes	
row_12	COL4A1	228	14.725882530212402	0.54913515	Yes	
row_13	EDIL3	241	14.362748146057129	0.5733666	Yes	
row_14	TGFBR2	302	13.124903678894043	0.59226704	Yes	
row_15	COL11A1	308	12.975887298583984	0.6145449	Yes	
row_16	COL4A5	316	12.779044151306152	0.6363476	Yes	
row_17	COL10A1	334	12.442176818847656	0.6569021	Yes	
row_18	SDC1	356	11.86196517944336	0.6761811	Yes	
row_19	COL9A3	431	10.494370460510254	0.6895724	Yes	
row_20	COL12A1	451	10.256308555603027	0.70618606	Yes	
row_21	COL4A6	454	10.195211410522461	0.7238174	Yes	
row_22	COL15A1	481	9.83417797088623	0.73923266	Yes	
row_23	COL8A2	500	9.574555397033691	0.75472456	Yes	
row_24	COL2A1	519	9.34322452545166	0.7698134	Yes	
row_25	IGF1	552	8.946512222290039	0.78328526	Yes	
row_26	BCAR1	661	7.941413402557373	0.7899801	Yes	
row_27	COL7A1	692	7.690342903137207	0.80139554	Yes	
row_28	VTN	697	7.667983055114746	0.81449133	Yes	
row_29	IRS1	856	6.337972164154053	0.81508595	Yes	
row_30	KDR	920	5.996771812438965	0.8213683	Yes	
row_31	MFGE8	1096	4.9815168380737305	0.8184753	Yes	
row_32	VCL	1168	4.682349681854248	0.82193846	Yes	
row_33	SRC	1245	4.415615081787109	0.82460624	Yes	
row_34	FGF2	1394	3.8962290287017822	0.82160777	No	
row_35	PXN	1466	3.691300392150879	0.8233441	No	
row_36	PIK3R1	2327	1.9525994062423706	0.76987547	No	
row_37	PTK2	2492	1.7443764209747314	0.76206964	No	
row_38	COL13A1	2552	1.6832282543182373	0.7611008	No	
row_39	PIK3C2A	2634	1.5923991203308105	0.75851893	No	
row_40	IGF1R	2787	1.4301679134368896	0.75095916	No	
row_41	PTPN11	3165	1.1181504726409912	0.72797686	No	
row_42	ROCK1	3190	1.0984973907470703	0.72830373	No	
row_43	ITGB3	3282	1.044735074043274	0.72410625	No	
row_44	TLN1	4012	0.647297203540802	0.6770262	No	
row_45	CBL	4039	0.6384581923484802	0.67641926	No	
row_46	COL9A2	4073	0.6239818930625916	0.6753242	No	
row_47	MAPK1	4227	0.558478593826294	0.66617954	No	
row_48	PI4KA	5304	0.22798019647598267	0.59542215	No	
row_49	ILK	5332	0.22070282697677612	0.59402126	No	
row_50	RPS6KB1	5827	0.11102212220430374	0.56154704	No	
row_51	CSF1R	6982	-0.0870479866862297	0.48538604	No	
row_52	SPP1	7072	-0.10220693051815033	0.47967866	No	
row_53	ITGAV	7105	-0.10874374955892563	0.477752	No	
row_54	PTK2B	7394	-0.16116754710674286	0.4589877	No	
row_55	VEGFA	7843	-0.25132274627685547	0.42979988	No	
row_56	AKT1	8031	-0.292983740568161	0.41794428	No	
row_57	RAC1	8270	-0.3501605689525604	0.40281573	No	
row_58	HSP90AA1	8522	-0.41138193011283875	0.38693416	No	
row_59	RHOA	10009	-0.8724438548088074	0.29018685	No	
row_60	F11R	10147	-0.9267581105232239	0.28274193	No	
row_61	COL4A4	10239	-0.9606071710586548	0.27839792	No	
row_62	COL9A1	10460	-1.0470776557922363	0.26567397	No	
row_63	COL4A3	10884	-1.2394574880599976	0.23986104	No	
row_64	COL11A2	11521	-1.5303364992141724	0.2004695	No	
row_65	MAPK3	11581	-1.562536358833313	0.19929038	No	
row_66	PIK3CA	12145	-1.9058420658111572	0.1653805	No	
row_67	PI4KB	13232	-2.8182871341705322	0.09847504	No	
row_68	CDKN1B	13389	-2.9834158420562744	0.0933571	No	
row_69	VAV3	13493	-3.090759515762329	0.09193102	No	
row_70	CSF1	14713	-5.443955421447754	0.02080527	No	
row_71	CASP8	14880	-6.238855361938477	0.02069816	No	
