NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCND1	525	9.316787719726562	-0.0121703725	No	
row_1	CDKN1A	1695	3.07969069480896	-0.08227974	No	
row_2	PDS5B	1892	2.6529717445373535	-0.08883267	No	
row_3	WAPAL	3734	0.7752164602279663	-0.20916529	No	
row_4	RB1	4808	0.3515860140323639	-0.27954343	No	
row_5	PSMD1	5314	0.22554078698158264	-0.31252018	No	
row_6	RBL2	5546	0.17275552451610565	-0.32743517	No	
row_7	WEE1	5612	0.15766465663909912	-0.33136654	No	
row_8	E2F5	6427	0.004830624908208847	-0.38539445	No	
row_9	PTK6	6468	-7.794082048349082E-4	-0.38804808	No	
row_10	RFC1	7037	-0.09640472382307053	-0.42552167	No	
row_11	STAG1	7076	-0.10276606678962708	-0.4277942	No	
row_12	CCNH	7093	-0.10631180554628372	-0.42859757	No	
row_13	PSME3	7201	-0.12382311373949051	-0.4353996	No	
row_14	PSME4	7688	-0.21744674444198608	-0.46713468	No	
row_15	FZR1	7720	-0.22322435677051544	-0.46864924	No	
row_16	RAD21	7903	-0.2647123634815216	-0.48008734	No	
row_17	PSMC4	7911	-0.26553699374198914	-0.47990555	No	
row_18	LIN52	7931	-0.26948514580726624	-0.4805108	No	
row_19	PDS5A	7951	-0.27395597100257874	-0.48110518	No	
row_20	SMC3	7988	-0.2826797664165497	-0.48280692	No	
row_21	CDC25B	8297	-0.35733526945114136	-0.50238436	No	
row_22	RPS27A	8450	-0.3954343795776367	-0.5115126	No	
row_23	MNAT1	8558	-0.42031943798065186	-0.5175927	No	
row_24	CDK7	8571	-0.42287677526474	-0.51735985	No	
row_25	CDC25A	8678	-0.4532972276210785	-0.5232933	No	
row_26	LIG1	8962	-0.5267021656036377	-0.5407987	No	
row_27	RPA1	9088	-0.5625913143157959	-0.5477275	No	
row_28	SKP2	9225	-0.6070134043693542	-0.55527836	No	
row_29	LIN54	9388	-0.6582604646682739	-0.56443053	No	
row_30	CUL1	9395	-0.6607823371887207	-0.5632201	No	
