NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AEBP1	2	33.19158935546875	0.03425316	Yes	
row_1	FBN1	4	32.399681091308594	0.06775253	Yes	
row_2	COL1A2	11	29.397796630859375	0.09780885	Yes	
row_3	COL1A1	20	27.48004722595215	0.12574513	Yes	
row_4	SH3PXD2B	35	25.58076286315918	0.15131404	Yes	
row_5	VCAN	43	24.292301177978516	0.17601444	Yes	
row_6	CDH11	47	24.027847290039062	0.20070738	Yes	
row_7	IGFBP4	62	22.470273971557617	0.22305381	Yes	
row_8	LRRC17	97	19.971343994140625	0.24147892	Yes	
row_9	SULF2	102	19.666770935058594	0.26158714	Yes	
row_10	MATN3	140	18.34299087524414	0.27812544	Yes	
row_11	SFRP4	170	16.894439697265625	0.293696	Yes	
row_12	PDGFRA	183	16.13265037536621	0.3096099	Yes	
row_13	BMP4	205	15.356771469116211	0.3241204	Yes	
row_14	BMP1	213	15.095419883728027	0.33929288	Yes	
row_15	BMP2	223	14.838980674743652	0.35406643	Yes	
row_16	CYP26B1	266	13.81997013092041	0.36558574	Yes	
row_17	RUNX2	279	13.47459888458252	0.37874594	Yes	
row_18	NKX3-2	288	13.394999504089355	0.39209014	Yes	
row_19	EVC	297	13.18912124633789	0.40522107	Yes	
row_20	CHRD	300	13.13247013092041	0.41869304	Yes	
row_21	TGFBR2	302	13.124903678894043	0.43222377	Yes	
row_22	COL10A1	334	12.442176818847656	0.44304854	Yes	
row_23	AKAP13	365	11.686531066894531	0.4531571	Yes	
row_24	RUNX1	371	11.59762191772461	0.4648391	Yes	
row_25	PAPSS2	404	11.060457229614258	0.4741658	Yes	
row_26	COMP	449	10.270650863647461	0.4818748	Yes	
row_27	TBX1	450	10.256366729736328	0.49250036	Yes	
row_28	COL12A1	451	10.256308555603027	0.50312585	Yes	
row_29	HHIP	465	9.973794937133789	0.5125926	Yes	
row_30	ADAMTS4	467	9.942222595214844	0.5228261	Yes	
row_31	PCSK5	470	9.888204574584961	0.532937	Yes	
row_32	NOG	480	9.839086532592773	0.54253066	Yes	
row_33	FOXP1	490	9.719465255737305	0.5520004	Yes	
row_34	ARSE	518	9.353646278381348	0.559892	Yes	
row_35	COL2A1	519	9.34322452545166	0.56957155	Yes	
row_36	IGF1	552	8.946512222290039	0.5767082	Yes	
row_37	MGP	616	8.384475708007812	0.58119726	Yes	
row_38	MEGF8	617	8.384038925170898	0.58988315	Yes	
row_39	DLX5	619	8.33773422241211	0.59845436	Yes	
row_40	WNT2B	645	8.08743667602539	0.6051674	Yes	
row_41	POSTN	653	8.024052619934082	0.6130139	Yes	
row_42	SOX4	683	7.779201507568359	0.6191411	Yes	
row_43	FGFR3	702	7.588202476501465	0.6258033	Yes	
row_44	SKI	732	7.3427605628967285	0.6314783	Yes	
row_45	PLS3	781	6.954383850097656	0.6354852	Yes	
row_46	KIT	830	6.5321431159973145	0.6390546	Yes	
row_47	SHOX2	834	6.501840114593506	0.6455906	Yes	
row_48	HOXA1	849	6.375910758972168	0.65126336	Yes	
row_49	GDF10	874	6.221240520477295	0.6561096	Yes	
row_50	PTHLH	894	6.124548435211182	0.6611888	Yes	
row_51	GDF11	903	6.067409992218018	0.66694164	Yes	
row_52	EXTL1	906	6.058650493621826	0.67308515	Yes	
row_53	IGF2	911	6.043531894683838	0.6790797	Yes	
row_54	TWIST1	912	6.037779808044434	0.68533486	Yes	
row_55	SOX11	924	5.9870381355285645	0.69080454	Yes	
row_56	WNT11	968	5.712507724761963	0.69385797	Yes	
row_57	PTH1R	1006	5.528541088104248	0.6971205	Yes	
