NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DIO2	998	5.573415279388428	-0.0489689	No	
row_1	EEF2	1979	2.4904751777648926	-0.10623186	No	
row_2	SECISBP2	2754	1.4572508335113525	-0.15302637	No	
row_3	SECISBP2L	4041	0.6380648612976074	-0.2362624	No	
row_4	MRPS35	4647	0.3993714451789856	-0.27511564	No	
row_5	EEF1D	5437	0.1965012103319168	-0.3267834	No	
row_6	MRPS27	5729	0.13277964293956757	-0.345654	No	
row_7	GNB2L1	6364	0.013764884322881699	-0.38761508	No	
row_8	EEF1G	8200	-0.33180153369903564	-0.5081656	No	
row_9	MRPL45	8440	-0.39334267377853394	-0.52278936	No	
row_10	SEPSECS	8540	-0.4153076112270355	-0.5280703	No	
row_11	MRPS31	8644	-0.4431954026222229	-0.5335304	No	
row_12	ZNF598	8680	-0.45392414927482605	-0.53445244	No	
row_13	EEF1A1	8719	-0.4633525609970093	-0.5355442	No	
row_14	MRPL19	8991	-0.5359519124031067	-0.5518492	No	
row_15	GFM2	9612	-0.7324147820472717	-0.59067136	No	
row_16	GFM1	9781	-0.7952114939689636	-0.5993546	No	
row_17	MRPS2	9957	-0.8545420169830322	-0.6083191	No	
row_18	MRPL50	10117	-0.916244387626648	-0.61603373	No	
row_19	PTCD3	10295	-0.9813615083694458	-0.6247405	No	
row_20	EEF1B2	10428	-1.0331701040267944	-0.6303065	No	
row_21	MRPL3	10531	-1.0756205320358276	-0.6337543	No	
row_22	MRPS10	10699	-1.1482410430908203	-0.641285	No	
row_23	MRPL33	10737	-1.1636065244674683	-0.6401558	No	
row_24	MRPL1	11487	-1.5124492645263672	-0.68512416	No	
row_25	MRPL28	11547	-1.5452357530593872	-0.6842781	No	
row_26	MRPL44	11583	-1.563178539276123	-0.6817868	No	
row_27	MRPL39	12036	-1.8235663175582886	-0.70612115	No	
row_28	MRPS5	12111	-1.8809399604797363	-0.70523584	No	
row_29	MRPL10	12124	-1.8907862901687622	-0.7002127	No	
row_30	ERAL1	12306	-2.0266716480255127	-0.7059679	No	
row_31	MRPL48	12419	-2.096282482147217	-0.70693755	Yes	
row_32	EEF2K	12457	-2.1232895851135254	-0.7028552	Yes	
row_33	C12orf65	12547	-2.195124387741089	-0.7019969	Yes	
row_34	GADD45GIP1	12578	-2.2260689735412598	-0.6971346	Yes	
row_35	MRPS36	12699	-2.3207993507385254	-0.6979434	Yes	
row_36	MRPL30	12704	-2.3257901668548584	-0.69105166	Yes	
row_37	MRPS14	12718	-2.339916944503784	-0.6847127	Yes	
row_38	MRPL41	12734	-2.3548178672790527	-0.6784604	Yes	
row_39	MRPS25	12757	-2.375905752182007	-0.672607	Yes	
row_40	MRPL42	12759	-2.3789350986480713	-0.66535294	Yes	
row_41	MRPS9	12768	-2.3856873512268066	-0.6585419	Yes	
row_42	MRPS12	12777	-2.3951172828674316	-0.65170187	Yes	
row_43	MRPS16	12904	-2.5082576274871826	-0.6523313	Yes	
row_44	MRPS34	12950	-2.5433688163757324	-0.6474864	Yes	
row_45	MRPL46	13057	-2.6569931507110596	-0.64633316	Yes	
row_46	DAP3	13141	-2.7364015579223633	-0.64341176	Yes	
row_47	MRPS33	13157	-2.752824544906616	-0.63593477	Yes	
row_48	MRPL32	13173	-2.7683334350585938	-0.62841004	Yes	
row_49	MRPL47	13183	-2.7746527194976807	-0.6204683	Yes	
row_50	MRPL51	13195	-2.7844741344451904	-0.61262894	Yes	
row_51	MRPL35	13349	-2.9380486011505127	-0.61372465	Yes	
row_52	MRPS28	13357	-2.946404218673706	-0.60512197	Yes	
row_53	MRPL40	13399	-2.9882731437683105	-0.598643	Yes	
row_54	MRPL43	13525	-3.122074842453003	-0.5973174	Yes	
row_55	MRPL13	13623	-3.2432029247283936	-0.59376407	Yes	
row_56	MRPL20	13723	-3.380981683731079	-0.58991927	Yes	
row_57	MRPL27	13739	-3.404350519180298	-0.5804374	Yes	
row_58	MRPL17	13777	-3.4474234580993652	-0.5722806	Yes	
row_59	MRPL36	13817	-3.493652582168579	-0.564114	Yes	
row_60	MRPL12	13829	-3.5024290084838867	-0.55406535	Yes	
row_61	MRPL55	13875	-3.5922420024871826	-0.5459929	Yes	
row_62	MRPL54	13879	-3.5982306003570557	-0.5351195	Yes	
row_63	AURKAIP1	13932	-3.678981065750122	-0.52724385	Yes	
row_64	MRPL37	13936	-3.6850473880767822	-0.51610327	Yes	
row_65	MRPL49	14039	-3.8797852993011475	-0.5109223	Yes	
row_66	MRPS15	14042	-3.8869876861572266	-0.49909407	Yes	
row_67	TUFM	14046	-3.8922038078308105	-0.48731604	Yes	
row_68	MRPL53	14056	-3.9076101779937744	-0.4758881	Yes	
row_69	MRPL34	14067	-3.929025173187256	-0.46446052	Yes	
row_70	MRPL21	14156	-4.085923194885254	-0.45771775	Yes	
row_71	MRPS11	14202	-4.1822099685668945	-0.4478299	Yes	
row_72	MRPL23	14210	-4.199289798736572	-0.4353719	Yes	
