NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	N6AMT1	3749	0.7664902806282043	-0.24573603	No	
row_1	MRPS35	4647	0.3993714451789856	-0.3038201	No	
row_2	GSPT2	4953	0.31231674551963806	-0.32298833	No	
row_3	MRPS27	5729	0.13277964293956757	-0.37387192	No	
row_4	ETF1	7338	-0.14924727380275726	-0.47986314	No	
row_5	MTRF1L	8187	-0.3277423083782196	-0.5349384	No	
row_6	MRPL45	8440	-0.39334267377853394	-0.5503299	No	
row_7	MRPS31	8644	-0.4431954026222229	-0.56231236	No	
row_8	MRPL19	8991	-0.5359519124031067	-0.5834588	No	
row_9	APEH	9070	-0.5580779314041138	-0.586785	No	
row_10	GSPT1	9607	-0.7310689091682434	-0.6198704	No	
row_11	GFM2	9612	-0.7324147820472717	-0.6177219	No	
row_12	MRPS2	9957	-0.8545420169830322	-0.6376861	No	
row_13	MRPL50	10117	-0.916244387626648	-0.645196	No	
row_14	PTCD3	10295	-0.9813615083694458	-0.6536834	No	
row_15	MRPL3	10531	-1.0756205320358276	-0.66570103	No	
row_16	MRRF	10563	-1.0883686542510986	-0.6641675	No	
row_17	MRPS10	10699	-1.1482410430908203	-0.6693238	No	
row_18	MRPL33	10737	-1.1636065244674683	-0.6679397	No	
row_19	MRPL1	11487	-1.5124492645263672	-0.7125554	No	
row_20	MRPL28	11547	-1.5452357530593872	-0.7113707	No	
row_21	MRPL44	11583	-1.563178539276123	-0.7085376	No	
row_22	MRPL39	12036	-1.8235663175582886	-0.7324605	No	
row_23	MRPS5	12111	-1.8809399604797363	-0.73116297	No	
row_24	MRPL10	12124	-1.8907862901687622	-0.72572726	No	
row_25	ERAL1	12306	-2.0266716480255127	-0.7310351	No	
row_26	MRPL48	12419	-2.096282482147217	-0.7315443	No	
row_27	C12orf65	12547	-2.195124387741089	-0.7327212	Yes	
row_28	GADD45GIP1	12578	-2.2260689735412598	-0.72737265	Yes	
row_29	MRPS36	12699	-2.3207993507385254	-0.72767186	Yes	
row_30	MRPL30	12704	-2.3257901668548584	-0.720273	Yes	
row_31	MRPS14	12718	-2.339916944503784	-0.71342355	Yes	
row_32	MRPL41	12734	-2.3548178672790527	-0.70665747	Yes	
row_33	MRPS25	12757	-2.375905752182007	-0.7002855	Yes	
row_34	MRPL42	12759	-2.3789350986480713	-0.6925128	Yes	
row_35	MRPS9	12768	-2.3856873512268066	-0.6851815	Yes	
row_36	MRPS12	12777	-2.3951172828674316	-0.6778191	Yes	
row_37	MRPS16	12904	-2.5082576274871826	-0.6778979	Yes	
row_38	MRPS34	12950	-2.5433688163757324	-0.67249715	Yes	
row_39	MRPL46	13057	-2.6569931507110596	-0.67076147	Yes	
row_40	ABCE1	13059	-2.6610307693481445	-0.66205925	Yes	
row_41	DAP3	13141	-2.7364015579223633	-0.6584064	Yes	
row_42	MRPS33	13157	-2.752824544906616	-0.6503289	Yes	
row_43	MRPL32	13173	-2.7683334350585938	-0.6422002	Yes	
row_44	MRPL47	13183	-2.7746527194976807	-0.6336534	Yes	
row_45	MRPL51	13195	-2.7844741344451904	-0.62520665	Yes	
row_46	MRPL35	13349	-2.9380486011505127	-0.6256572	Yes	
row_47	MRPS28	13357	-2.946404218673706	-0.61641204	Yes	
row_48	MRPL40	13399	-2.9882731437683105	-0.6092804	Yes	
row_49	MRPL43	13525	-3.122074842453003	-0.6072704	Yes	
row_50	TRMT112	13597	-3.2011454105377197	-0.6014239	Yes	
row_51	MRPL13	13623	-3.2432029247283936	-0.59239274	Yes	
row_52	MRPL20	13723	-3.380981683731079	-0.5878079	Yes	
row_53	MRPL27	13739	-3.404350519180298	-0.5775835	Yes	
row_54	MRPL17	13777	-3.4474234580993652	-0.56867397	Yes	
row_55	MRPL36	13817	-3.493652582168579	-0.5597446	Yes	
row_56	MRPL12	13829	-3.5024290084838867	-0.54893214	Yes	
row_57	MRPL55	13875	-3.5922420024871826	-0.54007524	Yes	
row_58	MRPL54	13879	-3.5982306003570557	-0.52841735	Yes	
row_59	AURKAIP1	13932	-3.678981065750122	-0.51973814	Yes	
row_60	MRPL37	13936	-3.6850473880767822	-0.50779414	Yes	
row_61	MRPL49	14039	-3.8797852993011475	-0.50176436	Yes	
row_62	MRPS15	14042	-3.8869876861572266	-0.4890887	Yes	
row_63	MRPL53	14056	-3.9076101779937744	-0.47707358	Yes	
row_64	MRPL34	14067	-3.929025173187256	-0.4647892	Yes	
row_65	MRPL21	14156	-4.085923194885254	-0.45715305	Yes	
row_66	MRPS11	14202	-4.1822099685668945	-0.44635212	Yes	
row_67	MRPL23	14210	-4.199289798736572	-0.43297854	Yes	
row_68	MRPL22	14230	-4.223350524902344	-0.4203203	Yes	
row_69	MRPS7	14281	-4.3230204582214355	-0.40938652	Yes	
row_70	CHCHD1	14300	-4.378484725952148	-0.3961509	Yes	
row_71	MRPS23	14379	-4.538193702697754	-0.38636225	Yes	
row_72	MRPL15	14421	-4.631931781768799	-0.37381455	Yes	
row_73	MRPS24	14422	-4.633852958679199	-0.35854548	Yes	
row_74	ICT1	14486	-4.792447566986084	-0.34692574	Yes	
row_75	MRPL24	14584	-5.051562786102295	-0.3367037	Yes	
row_76	MRPL52	14642	-5.202001094818115	-0.32333708	Yes	
row_77	MRPS26	14666	-5.260733127593994	-0.30752546	Yes	
row_78	MRPL4	14692	-5.356562614440918	-0.2915305	Yes	
