NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL1A2	11	29.397796630859375	0.029176885	Yes	
row_1	LOXL2	15	28.417787551879883	0.05789008	Yes	
row_2	COL1A1	20	27.48004722595215	0.08558251	Yes	
row_3	PDGFRB	32	25.875194549560547	0.11117539	Yes	
row_4	THBS1	36	25.442819595336914	0.13686174	Yes	
row_5	LRP1	48	23.924747467041016	0.16047017	Yes	
row_6	ACTA2	64	22.187326431274414	0.18204418	Yes	
row_7	JAM3	100	19.67061424255371	0.19972408	Yes	
row_8	LOX	115	19.259807586669922	0.2183862	Yes	
row_9	ITGA5	116	19.25518226623535	0.23797709	Yes	
row_10	SERPINE1	126	18.914012908935547	0.25662076	Yes	
row_11	PDPN	137	18.550662994384766	0.27482808	Yes	
row_12	PDGFRA	183	16.13265037536621	0.2882416	Yes	
row_13	SLIT2	194	15.744550704956055	0.30359387	Yes	
row_14	PKD2	195	15.721787452697754	0.31958976	Yes	
row_15	BMP4	205	15.356771469116211	0.3346142	Yes	
row_16	COL4A1	228	14.725882530212402	0.34812993	Yes	
row_17	PLXDC1	232	14.632184028625488	0.36281717	Yes	
row_18	SFRP2	275	13.555318832397461	0.37380844	Yes	
row_19	TGFBR2	302	13.124903678894043	0.3854286	Yes	
row_20	ROBO4	317	12.750753402709961	0.3974682	Yes	
row_21	SCG2	352	12.010629653930664	0.40742126	Yes	
row_22	ANGPT1	359	11.774910926818848	0.4190014	Yes	
row_23	EGR3	395	11.198234558105469	0.42806122	Yes	
row_24	TBX1	450	10.256366729736328	0.4348959	Yes	
row_25	TEK	455	10.186569213867188	0.44499338	Yes	
row_26	ERRFI1	463	10.042708396911621	0.45474443	Yes	
row_27	NOG	480	9.839086532592773	0.46368825	Yes	
row_28	PGF	487	9.7409029006958	0.47319892	Yes	
row_29	TMEM204	517	9.359125137329102	0.48078763	Yes	
row_30	HEY1	563	8.902027130126953	0.48684445	Yes	
row_31	TGFBI	571	8.830119132995605	0.49536178	Yes	
row_32	NR4A1	573	8.796849250793457	0.50424534	Yes	
row_33	FOXF1	574	8.788705825805664	0.5131872	Yes	
row_34	PLXND1	592	8.59321117401123	0.5207968	Yes	
row_35	BMPER	595	8.580376625061035	0.5293934	Yes	
row_36	CCBE1	609	8.44527816772461	0.53711915	Yes	
row_37	FOXS1	611	8.414591789245605	0.54561377	Yes	
row_38	S1PR1	641	8.15216064453125	0.5519745	Yes	
row_39	SOX4	683	7.779201507568359	0.55715555	Yes	
row_40	VEGFC	689	7.7118144035339355	0.5646685	Yes	
row_41	APOD	695	7.674160480499268	0.572143	Yes	
row_42	SEMA5A	718	7.478938102722168	0.5782855	Yes	
row_43	HAS2	752	7.180466651916504	0.58339083	Yes	
row_44	GREM1	754	7.172321796417236	0.59062153	Yes	
