NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	-0.8591561	-2.9928808	0.0	0.0	0.0	1000	tags=70%, list=7%, signal=75%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	197	-0.75414574	-2.9195073	0.0	0.0	0.0	1381	tags=55%, list=9%, signal=60%	
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	Details ...	191	-0.6986872	-2.7107973	0.0	0.0	0.0	2907	tags=60%, list=19%, signal=73%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.2	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.2	Details ...	52	-0.8219261	-2.6567457	0.0	0.0	0.0	1111	tags=63%, list=7%, signal=68%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	104	-0.7296705	-2.64933	0.0	0.0	0.0	3233	tags=74%, list=21%, signal=93%	
INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 61%913531	INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 61%913531	Details ...	166	-0.69980764	-2.6384907	0.0	0.0	0.0	1192	tags=40%, list=8%, signal=43%	
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	Details ...	50	-0.8182941	-2.6211722	0.0	0.0	0.0	1111	tags=64%, list=7%, signal=69%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.1	Details ...	85	-0.7476165	-2.6189508	0.0	0.0	0.0	2496	tags=73%, list=16%, signal=87%	
DNA REPLICATION%REACTOME%R-HSA-69306.1	DNA REPLICATION%REACTOME%R-HSA-69306.1	Details ...	99	-0.73762053	-2.616127	0.0	0.0	0.0	2678	tags=67%, list=18%, signal=80%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	114	-0.7215927	-2.6154845	0.0	0.0	0.0	3233	tags=72%, list=21%, signal=91%	
MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	MITOCHONDRIAL TRANSLATIONAL TERMINATION%GOBP%GO:0070126	Details ...	86	-0.74590033	-2.5950658	0.0	0.0	0.0	2648	tags=74%, list=17%, signal=90%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	Details ...	91	-0.7406605	-2.5834749	0.0	0.0	0.0	3159	tags=78%, list=21%, signal=98%	
TRANSLATIONAL TERMINATION%GOBP%GO:0006415	TRANSLATIONAL TERMINATION%GOBP%GO:0006415	Details ...	93	-0.73995435	-2.5815225	0.0	0.0	0.0	2648	tags=71%, list=17%, signal=85%	
SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	Details ...	92	-0.73641264	-2.5805836	0.0	0.0	0.0	2678	tags=66%, list=18%, signal=80%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 61%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 61%5389840	Details ...	85	-0.75513494	-2.5790532	0.0	0.0	0.0	2496	tags=75%, list=16%, signal=90%	
MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	MITOCHONDRIAL TRANSLATIONAL ELONGATION%GOBP%GO:0070125	Details ...	85	-0.7517362	-2.5789802	0.0	0.0	0.0	2496	tags=74%, list=16%, signal=88%	
DNA REPLICATION PRE-INITIATION%REACTOME%R-HSA-69002.2	DNA REPLICATION PRE-INITIATION%REACTOME%R-HSA-69002.2	Details ...	76	-0.74561465	-2.5740364	0.0	0.0	0.0	2448	tags=66%, list=16%, signal=78%	
INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	INTERFERON-GAMMA-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060333	Details ...	64	-0.7851554	-2.5685139	0.0	0.0	0.0	1192	tags=55%, list=8%, signal=59%	
TRANSLATIONAL ELONGATION%GOBP%GO:0006414	TRANSLATIONAL ELONGATION%GOBP%GO:0006414	Details ...	100	-0.7133881	-2.5476694	0.0	0.0	0.0	2776	tags=69%, list=18%, signal=84%	
S PHASE%REACTOME%R-HSA-69242.2	S PHASE%REACTOME%R-HSA-69242.2	Details ...	131	-0.6788725	-2.5476046	0.0	0.0	0.0	2788	tags=56%, list=18%, signal=68%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1		104	-0.71876955	-2.5441995	0.0	0.0	0.0	2991	tags=71%, list=20%, signal=88%	
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337		50	-0.8182941	-2.5409238	0.0	0.0	0.0	1111	tags=64%, list=7%, signal=69%	
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.1	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.1		83	-0.7352142	-2.5385506	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 61%176814	ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 61%176814		73	-0.7486855	-2.5276127	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=65%	
MITOTIC ANAPHASE%REACTOME DATABASE ID RELEASE 61%68882	MITOTIC ANAPHASE%REACTOME DATABASE ID RELEASE 61%68882		169	-0.6582383	-2.526715	0.0	0.0	0.0	3009	tags=52%, list=20%, signal=64%	
ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145	ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS%GOBP%GO:0031145		76	-0.73691213	-2.5247898	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 61%453276	REGULATION OF MITOTIC CELL CYCLE%REACTOME DATABASE ID RELEASE 61%453276		83	-0.7352142	-2.5210876	0.0	0.0	0.0	2113	tags=53%, list=14%, signal=61%	
REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GOBP%GO:0051439	REGULATION OF UBIQUITIN-PROTEIN LIGASE ACTIVITY INVOLVED IN MITOTIC CELL CYCLE%GOBP%GO:0051439		71	-0.7482504	-2.5210547	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=65%	
M G1 TRANSITION%REACTOME DATABASE ID RELEASE 61%68874	M G1 TRANSITION%REACTOME DATABASE ID RELEASE 61%68874		76	-0.74561465	-2.5202584	0.0	0.0	0.0	2448	tags=66%, list=16%, signal=78%	
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340		53	-0.8075904	-2.52017	0.0	0.0	0.0	1111	tags=60%, list=7%, signal=65%	
APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 61%176409	APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 61%176409		72	-0.74650365	-2.5183802	0.0	0.0	0.0	2113	tags=56%, list=14%, signal=64%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME%R-HSA-5368286.1		85	-0.7480134	-2.51191	0.0	0.0	0.0	3159	tags=81%, list=21%, signal=102%	
NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904667	NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY%GOBP%GO:1904667		76	-0.73525137	-2.5063787	0.0	0.0	0.0	2113	tags=51%, list=14%, signal=59%	
