NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	193	0.8647706	2.6229064	0.0	0.0	0.0	1024	tags=57%, list=7%, signal=60%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	199	0.83047646	2.5417314	0.0	0.0	0.0	1519	tags=55%, list=10%, signal=61%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	199	0.83047646	2.5229857	0.0	0.0	0.0	1519	tags=55%, list=10%, signal=61%	
NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	NABA_ECM_GLYCOPROTEINS%MSIGDB_C2%NABA_ECM_GLYCOPROTEINS	Details ...	150	0.8239313	2.4413607	0.0	0.0	0.0	1527	tags=55%, list=10%, signal=60%	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.1	COLLAGEN FORMATION%REACTOME%R-HSA-1474290.1	Details ...	73	0.8792931	2.4192238	0.0	0.0	0.0	900	tags=58%, list=6%, signal=61%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.3	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.3	Details ...	55	0.90426415	2.3822849	0.0	0.0	0.0	900	tags=67%, list=6%, signal=71%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	63	0.882223	2.3811648	0.0	0.0	0.0	1005	tags=62%, list=7%, signal=66%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	63	0.882223	2.3652112	0.0	0.0	0.0	1005	tags=62%, list=7%, signal=66%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 61%2022090	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME DATABASE ID RELEASE 61%2022090	Details ...	51	0.88677895	2.336175	0.0	0.0	0.0	816	tags=61%, list=5%, signal=64%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 61%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 61%8948216	Details ...	38	0.9289225	2.3204458	0.0	0.0	0.0	816	tags=74%, list=5%, signal=78%	
MULTICELLULAR ORGANISMAL MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0044259	MULTICELLULAR ORGANISMAL MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0044259	Details ...	55	0.86878026	2.3099754	0.0	0.0	0.0	816	tags=55%, list=5%, signal=57%	
MULTICELLULAR ORGANISM METABOLIC PROCESS%GOBP%GO:0044236	MULTICELLULAR ORGANISM METABOLIC PROCESS%GOBP%GO:0044236	Details ...	60	0.85746956	2.3098602	0.0	0.0	0.0	816	tags=52%, list=5%, signal=54%	
MULTICELLULAR ORGANISMAL CATABOLIC PROCESS%GOBP%GO:0044243	MULTICELLULAR ORGANISMAL CATABOLIC PROCESS%GOBP%GO:0044243	Details ...	50	0.878969	2.3093703	0.0	0.0	0.0	816	tags=58%, list=5%, signal=61%	
COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574	COLLAGEN CATABOLIC PROCESS%GOBP%GO:0030574	Details ...	47	0.89169866	2.2990155	0.0	0.0	0.0	816	tags=62%, list=5%, signal=65%	
SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0001501	Details ...	184	0.76316434	2.2898905	0.0	0.0	0.0	1486	tags=43%, list=10%, signal=47%	
NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS	NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS	Details ...	38	0.9289225	2.2856505	0.0	0.0	0.0	816	tags=74%, list=5%, signal=78%	
COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963	COLLAGEN METABOLIC PROCESS%GOBP%GO:0032963	Details ...	51	0.88247603	2.2679057	0.0	0.0	0.0	816	tags=59%, list=5%, signal=62%	
DISEASES OF GLYCOSYLATION%REACTOME%R-HSA-3781865.1	DISEASES OF GLYCOSYLATION%REACTOME%R-HSA-3781865.1	Details ...	66	0.838356	2.2665315	0.0	0.0	0.0	1276	tags=50%, list=8%, signal=54%	
VASCULATURE DEVELOPMENT%GOBP%GO:0001944	VASCULATURE DEVELOPMENT%GOBP%GO:0001944	Details ...	196	0.7390014	2.257781	0.0	0.0	0.0	1933	tags=48%, list=13%, signal=55%	
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	Details ...	72	0.82460624	2.251631	0.0	0.0	0.0	1245	tags=47%, list=8%, signal=51%	
PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY	PID_SYNDECAN_1_PATHWAY%MSIGDB_C2%PID_SYNDECAN_1_PATHWAY		45	0.86828274	2.2482197	0.0	0.0	0.0	884	tags=56%, list=6%, signal=59%	
CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358	CARDIOVASCULAR SYSTEM DEVELOPMENT%GOBP%GO:0072358		198	0.740222	2.24576	0.0	0.0	0.0	1933	tags=49%, list=13%, signal=55%	
