NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	1695	3.07969069480896	-0.10726597	No	
row_1	PDS5B	1892	2.6529717445373535	-0.115409955	No	
row_2	NAP1L1	3919	0.6861085295677185	-0.2491772	No	
row_3	DIAPH3	4009	0.6482337117195129	-0.25390717	No	
row_4	ILF3	4677	0.3920418322086334	-0.29763788	No	
row_5	IPO7	4839	0.34462690353393555	-0.30772993	No	
row_6	CSE1L	5335	0.22053152322769165	-0.34031436	No	
row_7	WEE1	5612	0.15766465663909912	-0.3584183	No	
row_8	CBX5	5728	0.13280753791332245	-0.3658371	No	
row_9	CTCF	6278	0.02792857214808464	-0.402378	No	
row_10	TFRC	6414	0.006750208325684071	-0.4113637	No	
row_11	PRKDC	6708	-0.03829392045736313	-0.4308221	No	
row_12	RAD50	6842	-0.06263284385204315	-0.4395708	No	
row_13	SMC6	6875	-0.06674499064683914	-0.44157997	No	
row_14	RFC1	7037	-0.09640472382307053	-0.45213234	No	
row_15	STAG1	7076	-0.10276606678962708	-0.4544746	No	
row_16	SHMT1	7083	-0.10403355211019516	-0.45468158	No	
row_17	PRPS1	7226	-0.128246009349823	-0.46390852	No	
row_18	LBR	7516	-0.1828976571559906	-0.48283213	No	
row_19	MRE11A	7729	-0.2267715483903885	-0.4965421	No	
row_20	SYNCRIP	7809	-0.243561252951622	-0.501356	No	
row_21	RAD21	7903	-0.2647123634815216	-0.50706387	No	
row_22	PMS2	7907	-0.2651780843734741	-0.50677204	No	
row_23	WDR90	7938	-0.2712889611721039	-0.5082685	No	
row_24	SMC3	7988	-0.2826797664165497	-0.5110103	No	
row_25	PNN	8167	-0.3228490650653839	-0.5222758	No	
row_26	CDC25B	8297	-0.35733526945114136	-0.5302114	No	
row_27	BARD1	8333	-0.36593231558799744	-0.53186566	No	
row_28	HMGB3	8406	-0.38391590118408203	-0.5359527	No	
row_29	PPM1D	8432	-0.3916568160057068	-0.53689265	No	
row_30	LUC7L3	8603	-0.4329293668270111	-0.54742086	No	
row_31	CDC25A	8678	-0.4532972276210785	-0.55151254	No	
row_32	PAICS	8860	-0.4994501769542694	-0.56265056	No	
row_33	MSH2	8890	-0.5073570013046265	-0.56364256	No	
row_34	LIG1	8962	-0.5267021656036377	-0.56739813	No	
row_35	PSMC3IP	9039	-0.550509512424469	-0.57144284	No	
row_36	RPA1	9088	-0.5625913143157959	-0.57359886	No	
row_37	UBR7	9112	-0.5699531435966492	-0.57407486	No	
row_38	NBN	9157	-0.5821962356567383	-0.5759279	No	
row_39	RQCD1	9167	-0.5881207585334778	-0.5754371	No	
row_40	TUBG1	9406	-0.6663830876350403	-0.59006476	No	
row_41	ING3	9472	-0.6814953088760376	-0.59313333	No	
row_42	GSPT1	9607	-0.7310689091682434	-0.6007091	No	
row_43	MLH1	9636	-0.7412925362586975	-0.60120064	No	
row_44	NOLC1	9711	-0.7684197425842285	-0.6047079	No	
row_45	TP53	9768	-0.7887293696403503	-0.60697776	No	
row_46	ASF1A	9785	-0.7965776920318604	-0.6065669	No	
row_47	NUDT21	9865	-0.8226499557495117	-0.61030686	No	
row_48	ATAD2	9946	-0.8516348600387573	-0.61405975	No	
row_49	BRCA2	9972	-0.8588751554489136	-0.61413324	No	
row_50	MKI67	10031	-0.8840040564537048	-0.6163597	No	
row_51	GINS4	10153	-0.9281125068664551	-0.62270355	No	
row_52	POLE	10182	-0.9394860863685608	-0.62282753	No	
row_53	HUS1	10250	-0.9658832550048828	-0.625502	No	
row_54	BRCA1	10317	-0.9914649724960327	-0.6280624	No	
row_55	NUP153	10395	-1.021911859512329	-0.63129956	No	
row_56	POLD1	10414	-1.0275328159332275	-0.63059366	No	
row_57	PAN2	10424	-1.03107488155365	-0.6292814	No	
row_58	RAD51C	10467	-1.049550175666809	-0.6301344	No	
row_59	TUBB	10488	-1.0578795671463013	-0.6295056	No	
row_60	SSRP1	10620	-1.11259126663208	-0.6361738	No	
row_61	MYC	11181	-1.3755977153778076	-0.67094857	No	
row_62	MYBL2	11208	-1.3881107568740845	-0.6701072	No	
row_63	SMC4	11263	-1.4143365621566772	-0.6710835	No	
row_64	TRA2B	11320	-1.4411779642105103	-0.6721434	No	
row_65	RAD1	11374	-1.4598608016967773	-0.6729686	No	
row_66	NUP205	11409	-1.4757696390151978	-0.6724979	No	
row_67	DSCC1	11459	-1.5023220777511597	-0.6729778	No	
row_68	ZW10	11461	-1.5033670663833618	-0.67025644	No	
row_69	ANP32E	11505	-1.5208702087402344	-0.670302	No	
row_70	PPP1R8	11826	-1.6963582038879395	-0.6884851	No	
row_71	XPO1	11852	-1.711848497390747	-0.6869767	No	
row_72	NCAPD2	11908	-1.7491159439086914	-0.6873988	No	
row_73	BUB1B	12023	-1.8124895095825195	-0.6916359	No	
row_74	BRMS1L	12050	-1.834704041481018	-0.6899664	No	
row_75	EZH2	12065	-1.8504271507263184	-0.6874678	No	
row_76	AURKA	12131	-1.8931753635406494	-0.6882893	No	
row_77	LMNB1	12288	-2.0131113529205322	-0.6949538	Yes	
row_78	HNRNPD	12295	-2.0201644897460938	-0.69160724	Yes	
row_79	DONSON	12329	-2.0413448810577393	-0.690021	Yes	
row_80	RRM2	12367	-2.0620477199554443	-0.688663	Yes	
row_81	DNMT1	12410	-2.0923891067504883	-0.687582	Yes	
row_82	KIF18B	12414	-2.0944557189941406	-0.6838977	Yes	
row_83	EXOSC8	12509	-2.162905693054199	-0.68615186	Yes	
row_84	DEK	12557	-2.2054460048675537	-0.6851945	Yes	
row_85	NUP107	12566	-2.213200092315674	-0.6816232	Yes	
row_86	SMC1A	12573	-2.219628095626831	-0.67790675	Yes	
row_87	RFC3	12614	-2.2513935565948486	-0.67639756	Yes	
row_88	RAN	12621	-2.2573275566101074	-0.6726111	Yes	
row_89	NASP	12678	-2.309711456298828	-0.67206025	Yes	
row_90	LYAR	12731	-2.3486087322235107	-0.6711706	Yes	
row_91	EIF2S1	12760	-2.3791098594665527	-0.66862476	Yes	
row_92	STMN1	12880	-2.4894001483917236	-0.6719398	Yes	
row_93	RPA3	12933	-2.5309202671051025	-0.670712	Yes	
row_94	EED	13162	-2.755580425262451	-0.68079865	Yes	
row_95	MCM7	13219	-2.8050425052642822	-0.6793291	Yes	
row_96	CDCA8	13263	-2.8405098915100098	-0.6769273	Yes	
